"key","message","comment","context"
"${label} move lines","Lineas de movimiento: ${label}",,
"%","%",,
"% to match any character (one or more)","% para reemplazar por cualquier caracter",,
"%d account treated successfully,","%d cuenta tratada exitosamente",,
"%d accounting move(s) successfully generated.","%d movimiento(s) contables generado(s) exitosamente",,
"%d accounts treated successfully,","%d cuentas tratadas exitosamente",,
"%d anomalies.","%d anomalias",,
"%d anomaly.","%d anomalia",,
"%d email(s) sent.","%d email(s) enviado(s)",,
"%d invoice treated successfully,","%d factura tratada exitosamente,",,
"%d invoices treated successfully,","%d facturas tratadas exitosamente,",,
"%d moves couldn't be deleted or archived, please check the logs.","%d movimientos no se pudieron eliminar o archivar, por favor, verifique los logs",,
"%d reimbursement created successfully,","%d reembolso creado exitosamente,",,
"%d reimbursements created successfully,","%d reembolsos creados exitosamente",,
"%s - Invoice date can't be in the future.","%s - La factura no puede tener una fecha futura",,
"%s : A customer account is missing for the company %s","%s: Falta una cuenta de cliente para la compania %s",,
"%s : A header record is missing in the file %s","%s: Falta un registro de encabezado en el archivo %s",,
"%s : A record is missing in the file %s","%s: Falta un registro en el archivo %s",,
"%s : A supplier account is missing for the company %s","%s: Falta una cuenta de proveedor para la compania %s",,
"%s : Anomaly detected (the record doesn't have %s characters : %s) for the record %s, company %s","%s: Anomalia detectada (el registro no tiene %s caracteres: %s) para el registro %s, compania %s",,
"%s : Anomaly detected (value isn't numeric : %s) for sender","%s: Anomalia detectada (el valor no es numerico: %s) para el emisor",,
"%s : Anomaly detected (value isn't numeric : %s) for the receiver","%s: Anomalia detectada (el valor no es numerico: %s) para el receptor",,
"%s : Anomaly detected (value isn't numeric : %s) for the total","%s: Anomalia detectada (el valor no es numerico: %s) para el total",,
"%s : Bank statement line %s amount can't be null","%s: El monto de la l�nea de conciliaci�n %s no puede ser igual a 0",,
"%s : Caution, payment entry nb %s, total line's amount imputed is higher than customer's amount paid.","%s: Atenci�n, entrada de pago n.� %s, la suma de los montos asignados por l�nea es superior al monto pagado por el cliente",,
"%s : Computed balance and Ending Balance must be equal","%s: El balance calculado y el balance de cierre deben ser iguales",,
"%s : Currency missing","%s: Moneda faltante",,
"%s : Error : You must configure a bank details for the company %s and a payment mode %s","%s: Error: Debe configurar detalles bancarios para la compania %s y un metodo de pago %s",,
"%s : Error : You must configure a company for the batch configurator %s","%s: Error: Debe configurar una compania para el configurador de lotes %s",,
