"key","message","comment","context"
"%d bank statement couldn't be deleted, please check the logs.","%d Extracto(s) bancarios no pudieron ser eliminados, por favor, verifique los logs",,
"%d errors occurred. Please check tracebacks for details.","Ocurrieron %d errores. Por favor, verifique las trazas para mas detalles",,
"%d line successfully rejected","%d linea rechazada exitosamente",,
"%d lines successfully rejected","%d lineas rechazadas existosamente",,
"%s : Bank statement line %s amount can't be null","%s: El monto de la linea de extracto bancario no puede ser nulo",,
"%s : Computed balance and Ending Balance must be equal","%s: El saldo calculado y el saldo final deben ser iguales",,
"%s : MoveLine amount is not equals with bank statement line %s","%s: El monto de la linea de movimiento no es igual a el de la linea de extracto bancario %s",,
"%s : Please configure an ICS number for the company %s.","%s: Por favor, configure un numero ICS para la compania %s",,
"%s : Please, configure a default signer for the company %s","%s: Por favor, configure un(a) firmante predeterminado(a) para la empresa %s",,
"%s : Please, configure a sequence for the Bill of exchange and the company %s","%s: Por favor, configure una secuencia para la letra de cambio y la compania %s",,
"%s : Please, configure a sequence for the International Credit Transfers and the company %s","%s: Por favor, configure una secuencia para las transferencias internacionales y la empresa %s",,
"%s : Please, configure a sequence for the International Direct Debits and the company %s","%s: Por favor, configure una secuencia para los debitos directos internacionales y la empresa %s",,
"%s : Please, configure a sequence for the International Treasury Transfers and the company %s","%s: Por favor, configure una secuencia para las transferencias de tesoreria internacionales y la empresa %s",,
"%s : Please, configure a sequence for the National Treasury Transfers and the company %s","%s: Por favor, configure una secuencia para las transferencias de tesoreria nacionales y la empresa %s",,
"%s : Please, configure a sequence for the Other Bank Orders and the company %s","%s: Por favor, configure una secuencia para otras ordenes bancarias y la compania %s",,
"%s : Please, configure a sequence for the SEPA Credit Transfers and the company %s","%s: Por favor, configure una secuencia para las transferencias SEPA y la empresa %s",,
"%s : Please, configure a sequence for the SEPA Direct Debits and the company %s","%s: Por favor, configure una secuencia para los debitos directos SEPA y la empresa %s",,
"%s : Please, configure an account for the bank order for the external bank to bank transfer for the company %s","%s: Por favor, configure una cuenta contable para la orden de transferencia bancaria externa para la empresa %s",,
"%s : Please, configure an account for the bank order for the internal bank to bank transfer for the company %s","%s: Por favor, configure una cuenta contable para la orden de transferencia bancaria interna para la empresa %s",,
"%s : You must configure bank payment's information for the company %s","%s: Debe configurar la informacion de pago bancario para la compania %s",,
"%s bank statements get.","%s Extractos bancarios recuperados",,
"000000",,,
"011000",,,
"011001",,,
"011101",,,
"031001",,,
"061001",,,
"061002",,,
"061099",,,
"061101",,,
"090005",,,
"091002",,,
