"key","message","comment","context"
"${fullName} variants","${fullName} variantes",,
"%D : Day","%D : Dia",,
"%FM : Full Month (01, 02, 03, ...)","%FM : Mes completo (01, 02, 03, ...)",,
"%M : Month (1, 2, 3, ...)","%M : Mes (1, 2, 3, ...)",,
"%WY : Week number","%WY : Numero de semana",,
"%YY : Year (17)","%YY : Ano (17)",,
"%YYYY : Full Year (2017)","%YYYY : Ano completo (2017)",,
"%d anomalies.","%d anomalias.",,
"%d anomaly.","%d anomalias.",,
"%d record processed successfully,","%d registro procesado existosamente,",,
"%d records processed successfully,","%d registros procesados exitosamente,",,
"%s : Path to Birt template is incorrect","%s : La ruta a la plantilla BIRT es incorrecta",,
"%s : Please, configure a currency for the company %s","%s : Por favor, configure una divisa a la compa�ia %s",,
"%s SIRET Number required. Please configure SIRET Number for partner %s","%s Numero SIRET requerido. Por favor, configure un numero SIRET al socio %s",,
"%s cell is not valid.","Celda %s no valida.",,
"%s configuration file is not exist.","El archivo de configuracion %s no existe.",,
"%s file not found in %s.","Archivo %s no encontrado en %s.",,
"%s files imported","Archivos %s importados",,
"%s module does not exist.","El modulo %s no existe.",,
"%s row must not be empty.","Celda %s no debe estar vacia.",,
"%s user processed","Usuario %s procesado",,
"%s users processed","Usuarios %s procesados",,
"%s was not found in the standard application.","%s no se encontro en la aplicacion estandar.",,
"'%s' field for '%s' is invalid.","campo '%s'  para '%s' no es valido.",,
"'OneToMany' and 'ManyToMany' fields doesn't allowed","'OneToMany' y 'ManyToMany' no se permiten.",,
"'OneToMany' field doesn't allowed","'OneToMany' no se permite.",,
"(AUX)","(AUX)",,
"(L')","(L')",,
"(LA)","(LA)",,
"(LE)","(EL)",,
"(LES)","(LAS)",,
"(LOS)","(LOS)",,
"* %s anomaly(ies)","* %s anomalia(s)",,
"- Not null :","No nulo :",,
"- Succeeded :","Exito :",,
". Using those keys will result in a Invalid private key error",". Utilizar esas claves resultara en un error de clave privada invalida",,
"00",,,
"01",,,
"02",,,
"03",,,
"04",,,
"05",,,
"06",,,
"07",,,
"08",,,
"09",,,
"1","1",,
"1 Month","1 Mes",,
"1 Year","1 Ano",,
"10","10",,
"11","11",,
"12","12",,
"13","13",,
"14","14",,
"15","15",,
"16","16",,
"17","17",,
"18","18",,
"19","19",,
"1st Period From","1er Periodo desde",,
"2","2",,
"2 Months","2 Meses",,
"20","20",,
"21","21",,
"22","22",,
"23","23",,
"24","24",,
"25","25",,
"26","26",,
"27","27",,
"28","28",,
"2nd Period From","2do Periodo desde",,
"3","3",,
"3 Months","3 Meses",,
"4","4",,
"5","5",,
"6","6",,
"6 Months","6 Meses",,
"7","7",,
"8","8",,
"9","9",,
"<","<",,
"<B>%s</B> not found","No se encontro <B>%s</B> ",,
"<a class='fa fa-facebook' href='http://www.facebook.com' target='_blank' />","<a class='fa fa-facebook' href='http://www.facebook.com' target='_blank' />",,
"<a class='fa fa-google' href='http://www.google.com' target='_blank' />","<a class='fa fa-google' href='http://www.google.com' target='_blank' />",,
"<a class='fa fa-linkedin' href='http://www.linkedin.com' target='_blank' />","<a class='fa fa-linkedin' href='http://www.linkedin.com' target='_blank' />",,
"<a class='fa fa-twitter' href='http://www.twitter.com' target='_blank' />","<a class='fa fa-twitter' href='http://www.twitter.com' target='_blank' />",,
"<a class='fa fa-youtube' href='http://www.youtube.com' target='_blank' />","<a class='fa fa-youtube' href='http://www.youtube.com' target='_blank' />",,
"<br/>Example:<br/>Start unit : m3<br/>End unit : kg<br/><strong>$Product.netMass$ / $Product.articleVolume$</strong><br/>","<br/>Example:<br/>Start unit : m3<br/>End unit : kg<br/><strong>$Product.netMass$ / $Product.articleVolume$</strong><br/>",,
"<br>Mapping for the query :<br>First Name -> :firstName <br>Last Name -> :lastName <br>Email -> :email <br>Phone -> :phone <br>","<br>Mapeo para la consulta:<br>Nombre -> :firstName <br>Apellido -> :lastName <br>Email -> :email <br>Telefono -> :phone <br>",,
"<span class='label label-warning'>Alias are mandatory inside the jpql queries</span>","<span class='label label-warning'>Los alias son obligatorios dentro de las consultas jpql</span>",,
"<span class='label label-warning'>Invalid IBAN</span>","<span class='label label-warning'>IBAN no valido</span>",,
"<span class='label label-warning'>Please add an invoice address and a delivery address by default.</span>","<span class='label label-warning'>Por favor, agregue una direccion de facturacion y una direccion de entrega predeterminadas</span>",,
"<span class='label label-warning'>There is already a contact with this name.</span>","<span class='label label-warning'>Ya existe un contacto con este nombre.</span>",,
"<span class='label label-warning'>There is already a partner with this name.</span>","<span class='label label-warning'>Ya existe un socio con este nombre.</span>",,
"=","=",,
">",">",,
"A product of type service can't be procured from stock.","Un producto de tipo servicio no puede ser adquirido del inventario.",,
"A user with this login already exists.","Ya existe un usuario con este login.",,
"A.T.I. by default","A.T.I. predeterminado",,
"ABC Analysis","Analisis ABC",,
"ABC Analysis N°","Analisis ABC",,
"ABC Analysis NÂ°","Analicic ABC N�",,
"ABC Analysis line","Linea de analisis ABC",,
"ABC Analysis lines","Lineas de analisis ABC",,
"ABC Classes","Clases ABC",,
