"key","message","comment","context"
"$budgetExceedAlert",,,
"<span class='label label-warning'>You need to save the budget before manage budget lines on periods</span>","<span class='label label-warning'>Necesita guardar el presupuesto antes de administrar lineas de presupuesto en periodos</span>",,
"A budget distribution has already been generated. By launching this action, the budget distribution table will be cleared and re-computed. Do you want to proceed ?","Una distribucion de presupuesto ya ha sido generada. Al ejecutar esta accion, la tabla de distribucion de presupuesto sera vaciada y recalculada. Desea proceder?",,
"Account","Cuentas contables",,
"Account configuration","Configuracion contable",,
"Account model","Modelo de cuenta",,
"Account models","Modelos de cuenta",,
"Account move","Movimiento contable",,
"Account(s)","Cuenta(s) contable(s)",,
"Accounting.Account","Cuenta",,
"Advance export budget","Modelo de exportacion avanzada de presupuesto",,
"Advance export purchase order line","Modelo de exportacion avanzada de linea de compra",,
"Amount","Monto",,
"Amount for each line","Monto por cada linea",,
"Analytic Axis By Company","Eje analitico por compania",,
"Analytic Axis By company","Eje analitico por compania",,
"Analytic account","Cuenta analitica",,
"Analytic axis","Eje analitico",,
"App","App",,
"App budget","App presupuesto",,
"Apply to all","Aplicar a todos",,
"Archived","Archivado",,
"Assigned amount","Mongo asignado",,
"Auto","Auto",,
"Available Amount","Disponible",,
"Available amount","Disponible",,
"Available amount with simulated moves","Disponible con simulaciones",,
"Budget","Presupuesto",,
"Budget Distribution","Distribucion de presupuesto",,
"Budget Level","Presupuesto global",,
"Budget Levels","Presupuestos globales",,
"Budget Line","Linea de presupuesto",,
"Budget Lines","Lineas de presupuesto",,
"Budget amount available","Monto de presupuesto disponible",,
"Budget distribution","Distribucion de presupuesto",,
"Budget distribution generated","Distribucion de presupuesto generada",,
"Budget distribution imputed","Distribucion de presupuesto imputada",,
"Budget distribution role","Roles de distribucion de presupuesto",,
"Budget distributions","Distribuciones de presupuesto",,
"Budget filters","Filtros de presupuesto",,
"Budget group","Grupo de presupuesto",,
"Budget group templates","Plantillas de grupo de presupuesto",,
"Budget key","Clave de presupuesto",,
"Budget level export","Exportar presupuesto global",,
"Budget line","Linea de presupuesto",,
"Budget management","Administracion de presupuesto",,
"Budget manager","Responsable de presupuesto",,
"Budget model","Modelo de presupuesto",,
"Budget section","Seccion de presupuesto",,
"Budget section template","Plantilla de seccion de presupuesto",,
"Budget type select","Tipo de presupuesto",,
"Budget.Purchase","Compra",,
"Budget.Sale","Venta",,
"Budgets","Presupuestos",,
"Budgets related","Presupuestos relacionados",,
"Check Available Budget","Verificar presupuestos disponibles",,
"Check available amount","Control de disponibilidad",,
"Code","Codigo",,
"Commentaires","Comentarios",,
"Committed amount","Monto comprometido",,
"Committed line","Linea de compromiso",,
"Committed lines","Lineas de compromiso",,
"Company","Compania",,
"Company department","Departamento de compania",,
"Compute budget distribution","Calcular distribucion de presupuesto",,
"Configuration","Configuracion",,
"Create Budget From Template","Crear presupuesto desde plantilla",,
"Data imported successfully","Datos importados exitosamente",,
"Detailed view","Vista detallada",,
"Display committed lines","Desplegar lineas de compromiso",,
"Display distribution lines","Desplegar lineas de distribucion",,
"Display realized with no po","Desplegar realizados sin compromiso",,
"Display realized with po","Desplegar realizados con compromiso",,
"Display simulated moves","Desplegar movimientos simulados",,
"Distribution lines","Lineas de distribucion",,
"Draft","Borrador",,
"Enable budget key","Clave de presupuesto",,
"End Date","Fecha de finalizacion",,
"Error : Following accounts are not found %s","Error: Las siguientes cuentas no se encontraron %s",,
"Expected amount","Inicial",,
