"key","message","comment","context"
"Employees","Empleados",,
"Enable timesheet on manuf order","Activar calendarios para ordenes de manufactura",,
"Invoiced","Facturado",,
"Manage business production","Administrar produccion de negocio",,
"Manuf order","Orden de manufactura",,
"Manuf. Orders Selection","Selecci�n de ordenes de manufactura",,
"Operation","Operacion",,
"Operation order","Operacion de fabricacion",,
"Overview","Resumen",,
"Production orders","Ordenes de produccion",,
"Project","Proyecto",,
"Skill needed","Habilidades requeridas",,
"Skills","Habilidades",,
"There are timesheet still waiting validation on this manuf order, do you want to continue anyway ?","Existen calendarios aun esperando validacion en esta orden de manufactura, desea continuar de todas maneras?",,
"There are timesheet still waiting validation on this operation order, do you want to continue anyway ?","Existen calendarios aun esperando validacion en esta operaci�n, desea continuar de todas maneras?",,
"Timesheet Line","Linea de calendario",,
"Timesheet Lines","Lineas de calendario",,
"Timesheet imputed on","Calendario imputado en",,
"Timesheet imputed on manufacturing order","Calendario imputado en orden de manufactura",,
"Timesheet imputed on project","Calendario imputado en proyecto",,
"Timesheet line","Linea de calendario",,
"Timesheet lines","Lineas de calendario",,
"To Invoice","A facturar",,
"To invoice","A facturar",,
"Warning, this manuforder is finished","Advertencia, esta orden de manufactura se encuentra terminada",,
"Warning, this manuforder is from another company.","Advertencia, esta orden de manufactura es de otra compania",,
"Work center","Centro de trabajo",,
