"key","message","comment","context"
"% Charging Back Purhcases","% de refacturacion de compras",,
"% consump","% de consumo",,
"% consumption is the ratio of spent time on sold time on the task and all of it's sub tasks.","El % de consumo es la proporcion entre el tiempo transcurrido y el tiempo presupuestado para la tarea y todas sus sub-tareas",,
"% of consumption","% de consumo",,
"% of progress","% de progreso",,
"% prog","% de progreso",,
"% progress is the ratio of spent time on updated time on the task and all of it's sub tasks.","El % de progreso es la proporcion entre el tiempo transcurrido y el tiempo actualizado para la tarea y todas sus sub-tareas",,
"%s is in %s and should be in Days or Hours as they are defined in Business Project module configuration","%s se encuentre en %s, mientras que deberia encontrarse en dias u horas tal como se define en la configuracion de el modulo de proyecto de negocios",,
"1",,,
"2",,,
"3",,,
"4",,,
"5",,,
"6",,,
"A deadline is required","Se requiere una fecha limite",,
"Action","Accion",,
"Address","Direccion",,
"Advance payment invoices","Facturas de pago por adelantado",,
"Analytic move lines","Lineas de movimiento analitico",,
"Annex","Anexo",,
"App",,,
"App business project","App proyecto de negocios",,
"Are you sure to unlink project from selected lines?","Se encuentra seguro(a) de querer eliminar el enlace entre el proyecto y las lineas seleccionadas?",,
"Are you sure you want to generate invoices for all selected affairs ?","Se encuentra seguro(a) de querer generar facturas para todas las lineas seleccionadas?",,
"Attach the Annex to the invoice","Adjuntar anexo a factura",,
"Automatic Project","Proyecto automatico",,
"Automatic invoicing","Facturacion automatica",,
"Backup project data to project history","Guardar datos en historial de proyecto",,
"Batch","Lote",,
"Batches","Lotes",,
"Business project","Proyecto",,
"Business project batch","Lote de proyectos",,
"Business project batch filters","Filtros de lote de proyectos",,
"Business project batches","Lotes de proyectos",,
"Business projects","Proyectos",,
"Canceled","Cancelado(a)",,
"Charging Back Purchases Type","Tipo de refacturacion de compras",,
"Code","Codigo",,
"Comments","Observaciones",,
"Company","Compania",,
"Compute project totals","Calcular totales de proyecto",,
"Configurations","Configuraciones",,
"Consolidate all","Consolidar todo",,
"Consolidate phase invoicing","Consolidacion de fases para facturacion",,
"Consolidate the phases","Consolidar fases",,
"Content","Contenido",,
"Cost W.T.","Costo sin impuestos",,
"Could not find the project id.","ID de proyecto no encontrado",,
"Created by","Creado(a) por",,
"Created on","Creado(a) el",,
"Currency","Moneda",,
"Customer deliveries","Entregas a cliente",,
