"key","message","comment","context"
"Accept Order","Aceptar orden",,
"All open ticket","Todos los tickets abiertos",,
"All tickets","Todos los tickets",,
"Announcement","Anuncio",,
"App",,,
"App Business Support","App soporte de negocio",,
"App business support","App soporte de negocio",,
"Assigning to the customer","Asignar a el cliente",,
"Assigning to the provider","Asignar a el proveedor",,
"Assignment","Asignacion",,
"Characteristics","Caracteristicas",,
"Configuration","Configuracion",,
"Content","Contenido",,
"Customer","Cliente",,
"Date","Fecha",,
"Financial Data","Datos financieros",,
"In production","En produccion",,
"In progress","En proceso",,
"In test","En pruebas",,
"Internal Description","Descripcion interna",,
"My Tickets","Mis tickets",,
"New Ticket","Nuevo ticket",,
"New tasks","Nuevas tareas",,
"On hold","En espera",,
"Order Accepted","Orden aceptada",,
"Order Proposed","Orden propuesta",,
"Private","Privado",,
"Production server date","Fecha de inicio de produccion",,
"Project","Proyecto",,
"Project Activity","Actividad de proyecto",,
"Project.version","Version",,
"Projects","Proyectos",,
"Provider","Proveedor",,
"Provider Company","Compania proveedora",,
"Status","Estado",,
"Subject","Sujeto",,
"Target version","Version objetivo",,
"Task Tree","Arbol de tareas",,
"Task assigned to","Tarea asignada a",,
"Task assigned to the client","Tarea asignada a el cliente",,
"Task assigned to the provider","Tarea asignada a el proveedor",,
"Tasks","Tareas",,
"Tasks to be treated by customer","Tareas a ser tratadas por cliente",,
"Tasks to be treated by provider","Tareas a ser tratadas por proveedor",,
"Testing server date","Fecha de inicio de pruebas",,
"Ticket",,,
"Ticket associated","Ticket asociado",,
"Tickets",,,
"TimesheetLine.timeSpent","Tiempo invertido",,
"Title","Titulo",,
"Tree view","Vista de arbol",,
"Update to invoice","Actualizar a factura",,
"Validated Timesheet lines","Lineas de calendario validadas",,
