"key","message","comment","context"
"1","1",,
"10","10",,
"11","11",,
"12","12",,
"13","13",,
"14","14",,
"15","15",,
"16","16",,
"17","17",,
"18","18",,
"19","19",,
"2","2",,
"20","20",,
"21","21",,
"22","22",,
"23","23",,
"24","24",,
"25","25",,
"26","26",,
"27","27",,
"28","28",,
"3","3",,
"4","4",,
"5","5",,
"6","6",,
"7","7",,
"8","8",,
"9","9",,
"<h4>Forecasts in out total</h4>","<h4>Pronostico de tesoreria</h4>",,
"Actualize","Actualizar",,
"Amount","Monto",,
"Balance","Balance",,
"Bank","Banco",,
"Bank details","Detalles de banco",,
"Best","Mejor caso",,
"Both","Ambos(as)",,
"Calculation Date","Fecha de calculo",,
"Cash Management Dashboard","Tablero de tesoreria",,
"Cash balance over time","Evolucion de saldo",,
"Cash management","Pronosticos de tesoreria",,
"Comments","Comentarios",,
"Company","Compania",,
"Configuration","Configuracion",,
"Currency","Moneda",,
"Current balance","Saldo actual",,
"Date","Fecha",,
"Details","Detalles",,
"Display","Desplegar",,
"Element","Elemento",,
"Employee","Empleado(a)",,
"End Of Month","Fin de mes",,
"Ending Balance","Saldo final",,
"Estimated date","Fecha estimada",,
"Estimated duration after order creation (in days)","Duracion estimada despues de creacion de orden (en dias)",,
"Expense","Nota de gasto",,
"Forecast","Pronostico",,
"Forecast Assistant","Asistente de pronostico",,
"Forecast Assistant filters","Filtros de asistente de pronostico",,
"Forecast Assistants","Asistentes de pronostico",,
"Forecast Dashboard","Tablero de tesoreria",,
"Forecast Recap","Resumen de pronosticos",,
"Forecast Recap Line Type","Tipo de en proceso",,
"Forecast Recap line Types","Tipo de en proceso",,
"Forecast Recaps","Resumen de pronosticos",,
"Forecast Report","Reporte de pronosticos",,
"Forecast Reports","Reportes de pronosticos",,
"Forecast Type","Tipo de pronostico",,
"Forecast Types","Tipo de en proceso",,
"Forecast filters","Filtros de pronostico",,
"Forecast generator","Asistente de pronostico",,
"Forecast recap","Resumen de pronosticos",,
"Forecast recap filters","Resumen de pronosticos",,
"Forecast recap line type updated.","El tipo de en proceso ha sido actualizado",,
"ForecastLine.amount","Monto",,
"ForecastLine.balance","Saldo acumulado",,
"ForecastLine.estimatedDate","Fecha estimada",,
"ForecastLine.relatedToName","Referencia",,
"ForecastLine.type","Tipo",,
"ForecastLineType.in","Entrante",,
"ForecastLineType.out","Saliente",,
"ForecastOpportunitiesType.base","Monto de base",,
"ForecastOpportunitiesType.best","Mejor caso",,
"ForecastOpportunitiesType.no","No",,
"ForecastOpportunitiesType.worst","Peor caso",,
"ForecastRecap","Resumen de pronosticos",,
"ForecastRecap.bankDetailsIban","IBAN",,
"ForecastRecap.calculationDate","Fecha de calculo",,
"ForecastRecap.company","Compania",,
"ForecastRecap.currency","Moneda",,
"ForecastRecap.endingBalance","Saldo final",,
"ForecastRecap.fromDate","De",,
"ForecastRecap.operationDetails","Detalles de operacion",,
"ForecastRecap.opportunitiesTypeSelect","Considerar oportunidades",,
"ForecastRecap.startingBalance","Saldo inicial",,
"ForecastRecap.title","Plan de pronostico de tesoreria",,
"ForecastRecap.toDate","A",,
"ForecastRecapLine.balance","Saldo acumulado",,
"ForecastRecapLine.relatedToSelect","Tipo de documento",,
"Forecasts","Pronosticos",,
"Forecasts generated","Pronosticos generados",,
"Forecasts in out total","Pronosticos de tesoreria",,
"Format","Formato",,
"From","De",,
"From Date","De",,
"Functional origin","Origen funcional",,
"Generate","Generar",,
"IBAN / BBAN","IBAN/BBAN",,
"Invalid dates","Fechas invalidas",,
"Invoice","Factura",,
"Is complete","Completo(a)",,
"Journals to take into account","Diarios a tener en cuenta",,
"Line","Linea",,
"Lines","Lineas",,
"Manual Forecast","Pronostico manual",,
"Manual forecasts","Pronosticos manuales",,
"Marges","Margenes",,
"Month","Mes",,
"Move","Movimiento",,
"Name","Nombre",,
"No","No",,
"No move type found for element : %s","Ningun tipo de movimiento encontrado para el elemento: %s",,
"ODS",,,
"Operation type","Tipo de operacion",,
"Opportunity","Oportunidad",,
"PDF",,,
"Pay Day","Dia de pago",,
"Periodicity","Periodicidad",,
"Please fill periodicity.","Por favor, llene la periodicidad",,
"Please select a company","Por favor, seleccione una compania",,
"Populate","Completar",,
"Previsional Marges","Margenes previsionales",,
"Previsional Sales","Ventas previsionales",,
"Previsional Spending","Gastos previsionales",,
"Print","Imprimir",,
"Purchase order","Orden de compra",,
"Realization date","Fecha de realizacion",,
"Reason","Razon",,
"Reference","Referencia",,
"Related to select","Relacionado a",,
"Reports","Reportes",,
"Salary","Salario",,
"Sale order","Orden de venta",,
"Sales","Ventas",,
"Salesperson","Vendedor(a)",,
"Seq.","Secuencia",,
"Sequence","Secuencia",,
"Spending","Gastos",,
"Starting Balance","Saldo inicial",,
"Starting date should not be in the past","La fecha de inicio no debe ser pasada",,
"Statuses to take into account","Estados a tener en cuenta",,
"Take into account opportunies","Tener oportunidades en cuenta",,
"The company %s doesn't have any configured sequence for ForcastRecap","La compania %s no cuenta con ninguna secuencia configurada para resumen de pronosticos",,
"The company %s doesn't have any configured sequence for Forecast","La compania %s no cuenta con ninguna secuencia configurada para pronosticos",,
"To","A",,
"To Date","A",,
"Type","Tipo",,
"Update","Actualizar",,
"Use for report","Utilizar para reporte",,
"User","Usuario",,
"Value %s is not supported for forecast recap line type.","El valor %s no es soportado para el tipo de linea de resumen de pronosticos",,
"Week","Semana",,
"Worst","Peor caso",,
"XLS","xls",,
"value:Cash management","Pronosticos de tesoreria",,
