"key","message","comment","context"
"ABS portal","Portal ABS",,
"App",,,
"App Portal","App portal",,
"App portal",,,
"Assign to customer","Asignar a el cliente",,
"Assign to supplier","Asignar a el proveedor",,
"Awaiting invoices","En espera de pago",,
"Can confirm online","Puede confirmar en linea",,
"Can pay online","Puede pagar en linea",,
"Catalog","Catalogo de productos",,
"Code","Codigo",,
"Company tickets","Tickets de compania",,
"Customer helpdesk","Soporte a cliente",,
"Customer tickets","Tickets de cliente",,
"Delivery","Entrega",,
"Display product catalog","Desplegar catalogo de productos",,
"Electronic signature","Firma electronica",,
"External portal","Portal externo",,
"Helpdesk","Soporte a cliente",,
"Invoicing","Facturacion",,
"Last delivery","Ultima entrega",,
"Last order","Ultima orden",,
"Late tickets","Tickets retrasados",,
"Manage delivery","Administrar entrega",,
"Manage invoices","Administrar facturas",,
"Manage projects","Administrar proyectos",,
"Manage sale orders","Administrar ordenes de venta",,
"Manage tickets","Administrar tickets",,
"Modules","Modulos",,
"Months","Meses",,
"My deliveries","Mis entregas",,
"My invoices","Mis facturas",,
"My projects","Mis proyectos",,
"My quotations","Mis cotizaciones",,
"My refund","Mis creditos",,
"My reversions","Mis devoluciones",,
"My space","Mi espacio",,
"My tickets","Mis tickets",,
"Name","Nombre",,
"Next delivery","Siguiente entrega",,
"None","Ninguno(a)",,
"Online payment method","Metodo de pago en linea",,
"Online payment methods","Metodos de pago en linea",,
"Orders in progress","Orden en proceso",,
"Overdue invoices","Facturas retrasadas",,
"Password","Contrasena",,
"Planned deliveries","Entregas planeadas",,
"Portal","Portal",,
"Project","Proyecto",,
"Projects","Proyectos",,
"Resolved tickets","Tickets resueltos",,
"Sale order","Orden de venta",,
"Sum","Suma",,
"Sum of last 4 months invoices","Suma de facturas de los ultimos 4 meses",,
"Tasks due","Tareas retrasadas",,
"Tasks incompleted","Tareas sin completar",,
"Total projects","Total de proyectos",,
"Total remaining","Total restante",,
"User is not linked with any partner. Please disconnect.","El usuario no se encuentra enlazado a ningun socio. Por favor, desconectar",,
"chart","Grafica",,
"value:Portal","Portal",,
