"key","message","comment","context"
"%d contract(s) treated and %d anomaly(ies) reported !","%d contrato(s) procesado(s) y %d anomalia(s) reportada(s)",,
"Action","Accion",,
"Action %s has no Batch implementation.","Accion %s no cuenta con implementacion en lote",,
"Actions","Acciones",,
"Activate contract","Activar contrato",,
"Activated By","Activado(a) por",,
"Activation date","Fecha de activacion",,
"Active","Activo(a)",,
"Additional Benefit Management","Administracion de prestaciones adicionales",,
"Additional benefit","Prestacion adicional",,
"Additional benefit lines","Linea de prestacion adicional",,
"Additional benefit management","Administracion de prestaciones adicionales",,
"Advanced","Avanzado",,
"Amendment management","Administracion de modificaciones",,
"Analytic Move Line","Linea de movimiento analitico",,
"Analytic distribution template","Plantilla de distribuccion analitica",,
"Analytic move line","Linea de movimiento analitico",,
"Analytic move lines","Lineas de movimiento analitico",,
"Analytics","Analitico",,
"App",,,
"App contract","App Contrato",,
"Attention the contract will have as starting date the provisional activation         date ${currentContractVersion.supposedActivationDate}, Are you sure?","Advertencia, el contrato tendra como fecha de inicio la fecha de activacion prevista ${currentContractVersion.supposedActivationDate}, se encuentra seguro(a)?",,
"Auto enable version on renew","Activar automaticamente version al renovar",,
"Automatic invoicing","Facturacion automatica",,
"Available variables :\n         ind1i = value for the contract's index1 for date 1 \n ind2i = value for the contract's index 2 for date         2 \n ind1f : value for the contract's index 1 for the next revaluation date \n ind2f :         value for the contract's index 2 for the next revaluation date \n ind1py :         value for the contract's index 1 for the next revaluation - 1 year \n ind2py :         value for the contract's index 2 for the next revaluation - 1 year \n P0 : original price of the contract line         \n Pf : last revaluated price of the contract line","Variables disponibles: \n ind1i = valor para el indice 1 de el contrato en la fecha 1 \n ind2i = valor para el indice 2 de el contrato en la fecha 2 \n ind1f = valor del indice 1 de el contrato para la proxima fecha de revalorizacion \n ind2f = valor del indice 2 de el contrato para la proxima fecha de revalorizacion \n ind1py = valor del indice 1 de el contrato para la proxima fecha de revalorizacion - 1 ano \n ind2py = valor del indice 2 de el contrato para la proxima fecha de revalorizacion - 1 ano \n P0 = valor de el precio inicial de la linea de el contrato \n Pf = valor de el precio actual de la linea de el contrato",,
"Back","Atras",,
"Batches","Lotes",,
"Batchs","Lotes",,
"Can only activate waiting contract.","Solo es posible activar un contrato en espera",,
"Can only put on hold drafted contract.","Solo es posible poner en espera un contrato en borrador",,
"Can only terminate ongoing contract.","Solo es posible terminar un contrato en curso",,
"Cancel","Cancelar",,
"Close contract","Cerrar contrato",,
