"key","message","comment","context"
"%d times","%d veces",,
"1","1",,
"1 to 20","1 a 20",,
"100 to 500","100 a 500",,
"1000 to 2000","1000 a 2000",,
"2","2",,
"20 to 100","20 a 100",,
"3","3",,
"4","4",,
"5","5",,
"500 to 1000","500 a 1000",,
"<a class='fa fa-google' href='http://www.google.com' target='_blank' />","<a class='fa fa-google' href='http://www.google.com' target='_blank' />",,
"<a class='fa fa-linkedin' href='http://www.linkedin.com' target='_blank' />","<a class='fa fa-linkedin' href='http://www.linkedin.com' target='_blank' />",,
"<span class='label label-warning'>The selected date is in the past.</span>","<span class='label label-warning'>La fecha seleccionada es pasada</span>",,
"<span class='label label-warning'>There is already a lead with this name.</span>","<span class='label label-warning'>Ya existe una pista con este nombre</span>",,
"A lost reason must be selected","Debe seleccionarse una razon de perdida",,
"Account owner","Propietario(a) de la cuenta",,
"Action","Accion",,
"Active agency","Agencia activa",,
"Activities","Actividades",,
"Add","Anadir",,
"Add a guest","Anadir un(a) invitado(a)",,
"Address","Direccion",,
"Advanced export","Exportacion avanzada",,
"After n repetitions","Despues de n repeticiones",,
"Agencies","Agencias",,
"Agencies management","Administracion de agencias",,
"Agency","Agencia",,
"All events","Todos los eventos",,
"All opportunities","Todas las oportunidades",,
"All past events","Todos los eventos pasados",,
"All prospects","Todos los prospectos",,
"All upcoming events","Todos los eventos proximos",,
"All users","Todos los usuarios",,
"Amount","Monto",,
"Amount :","Monto: ",,
"App","App",,
"App Crm","App CRM",,
"App crm","App CRM",,
"Apply changes to all recurrence's events","Aplicar cambios a todos los eventos recurrentes",,
"Apply changes to this event only","Aplicar cambios solo a este evento",,
"Apply modifications","Aplicar modificaciones",,
"Apply modifications for all","Aplicar modificaciones a todos",,
"Assign to","Asignar a",,
"Assign to me","Asignar a mi",,
"Assignable Users","Usuario asignables",,
"Assigned to","Asignado a",,
"At specific date","En fecha especifica",,
"At the date","En la fecha",,
"Attendee","Nombre",,
"Available","Disponible",,
"Batchs","Lotes",,
"Before start date","Antes de fecha de inicio",,
"Best Open Deals","Mejores tratos abiertos",,
"Best case","En el mejor de los casos",,
"Busy","Ocupado",,
"CRM","CRM",,
"CRM Activities","Actividades de CRM",,
"CRM Batch","Lote de CRM",,
"CRM batch","Lote de CRM",,
"CRM batches","Lotes de CRM",,
"CRM config","Configuracion de CRM",,
"CRM config (${ name })","Configuracion de CRM (${name})",,
"CRM configuration","Configuracion de CRM",,
"CRM configurations","Configuraciones de CRM",,
"CRM events","Eventos de CRM",,
"Call","Llamada",,
"Call Event (${ fullName })","Evento de llamada (${fullName})",,
"Call Event(${ fullName})","Evento de llamada (${fullName})",,
"Call filters","Filtros de llamada",,
"Call reminder template","Plantilla de recordatorio de llamada",,
"Call type","Tipo de llamada",,
"Calls","Llamadas",,
"Calls Dashboard","Tablero de llamadas",,
"Calls by team by user","Llamadas por equipo por usuario",,
"Calls by user(of a team)","Llamadas por usuario (de un equipo)",,
"Calls held by team by type","Llamadas sostenidas por equipo por tipo",,
"Calls held by type by user","Llamadas sostenidas por tipo por usuario",,
"Calls monitoring","Monitoreo de llamadas",,
"Calls type by team","Tipo de llamadas por equipo",,
"Calls type by user","Tipo de llamadas por usuario",,
"Can not mark as lost an already lost lead.","No se puede marcar como perdida una pista ya perdida",,
"Can not mark as lost an already lost partner.","No se puede marcar como perdido un socio ya perdido",,
"Can only assign to yourself new, assigned or in process lead.","Solo se puede asignar a usted mismo una pista nueva, asiganada o en proceso",,
"Can only close lost opportunities in form view.","Solo se pueden cerrar oportunidades perdidas en la vista de formulario",,
