"key","message","comment","context"
"Acquisition Date","Fecha de adquisicion",,
"Activation Cost","Costo de activacion",,
"Active","Activo(a)",,
"Additional Properties","Opciones",,
"Amount","Monto",,
"Archived","Archivado(a)",,
"Automatic","Automatico",,
"Booking","Reservacion",,
"BookingDate","Fecha de reservacion",,
"Brand","Marca",,
"CO2 Emissions","Emision de CO2",,
"Car value","Valor de el vehiculo",,
"Category","Categoria",,
"Cause of repair","Causa de la reparacion",,
"Chassis Number","Numero de chasis",,
"Color","Color",,
"Company","Compania",,
"Configuration","Configuracion",,
"Confirmed","Confirmado(a)",,
"Contact set","Contactos",,
"Contract Expiration Date","Fecha de expiracion de contrato",,
"Contract Reference","Referencia de contrato",,
"Contract Start date","Fecha de inicio de contrato",,
"Contract details","Detalles de contrato",,
"Contract number","Numero de contrato",,
"Contractor","Contratista",,
"Cost","Costo",,
"Customer","Cliente",,
"Daily","Diariamente",,
"Date","Fecha",,
"Date of repair","Fecha de reparacion",,
"Diesel",,,
"Doors","Numero de puertas",,
"Draft","Borrador",,
"Driver","Conductor(a)",,
"Electric","Electrico",,
"Engine Options","Opciones de motor",,
"Fleet","Flota",,
"Fuel card code","Codigo de tarjeta de combustible",,
"Fuel card number","No. de tarjeta de combustible",,
"Fuel log","Consumo de combustible",,
"Fuel type","Tipo de combustible",,
"Gasoline","Gasolina",,
"General Properties","Propiedades",,
"Horse Power","Caballos de fuerza",,
"Horse Power Tax","Impuesto a la potencia (caballos de fuerza)",,
"Hybrid","Hibrido",,
"Image","Logo",,
"In Progress","En proceso",,
"Included Services","Servicios incluidos",,
"Information","Informacion",,
"Insurance","Seguro",,
"Invoice Reference","Referencia de factura",,
"Invoice date","Fecha de factura",,
"Kilometric value","Kilometraje",,
"Leasing","Arrendamiento",,
"Liter","Litro",,
"Location","Ubicaci�n",,
"Manual","Manual",,
"Mileage","Kilometraje",,
"Model","Modelo",,
"Monthly","Mensualmente",,
"Name","Nombre",,
"None","Ninguno(a)",,
"Notes","Notas",,
"Odometer","Kilometraje",,
"Odometer unit","Unidad de distancia",,
"Odometers","Kilometraje",,
"Partner set","Socios",,
"Plate number","Placas",,
"Power(KW)","Potencia",,
"Price per Liter","Precio por litro",,
"Purchaser","Comprador",,
"Recurring Cost","Costo recurrente",,
"Recurring Cost Frequency","Frecuencia de costo recurrente",,
"Recurring Costs","Costos recurrentes",,
"Refueling details","Detalles de carga de combustible",,
"Rent end","Fin de renta",,
"Rent start","Inicio de renta",,
"Rental","Renta",,
"Rental car","Vehiculo de renta",,
"Repairing","Reparacion",,
"Repairs","Reparaciones",,
"Seats","Numero de asientos",,
"Service Type","Tipo de servicio",,
"Service log","Logs de servicios",,
"Services","Servicios",,
"State","Estado",,
"Status","Estado",,
"Tags","Etiquetas",,
"Terminated","Terminado",,
"Terms and Conditions","Terminos y condiciones",,
"To Close","A cerrar",,
"Total Price","Precio total",,
"Total cost","Costo total estimado",,
"Transmission","Transmision",,
"Type","Tipo",,
"Unit","Unidad",,
"Vehicle","Vehiculo",,
"Vehicle Contract","Contratos",,
"Vehicle Cost","Costos",,
"Vehicle Fuel","Consumo de combustible",,
"Vehicle Fuel Log","Registro de kilometros",,
"Vehicle Model","Modelo de vehiculo",,
"Vehicle Recurring Cost","Costo recurrente",,
"Vehicle Service","Logs de servicios",,
"Vehicle Service Log","Servicio",,
"Vehicle Service Type","Tipo de servicio",,
"Vehicle brands","Marcas de vehiculo",,
"Vehicle contract","Contrato",,
"Vehicle contracts","Contrato",,
"Vehicle cost","Costo de vehiculo",,
"Vehicle fuel log","Consumo de combustible",,
"Vehicle models","Modelos de vehiculo",,
"Vehicle odometer","Registro de kilometros de los vehiculos",,
"Vehicle rent","Renta de vehiculo",,
"Vehicle service","Servicio",,
"Vehicle service list","Tabla de logs de servicios",,
"Vehicle service log","Logs de servicios",,
"Vehicle service type","Tipo de servicio",,
"Vehicle sevice type","Tipo de servicio",,
"Vehicle tag","Etiqueta de vehiculo",,
"Vehicle tags","Etiquetas de vehiculo",,
"Vendor","Proveedor",,
"Vendors","Proveedores",,
"Warning Date","Fecha de advertencia",,
"Weekly","Semanalmante",,
"Yearly","Anualemente",,
"g/km",,,
"value:Fleet","Flota",,
