"key","message","comment","context"
"<br>Mapping for the query :<br>First Name -> :firstName <br>Last Name -> :lastName <br>Email -> :email <br>Phone -> :phone <br>",,,
"A replacement object is missing for model %s.","Falta un objeto de reemplazo para el modelo %s",,
"Access","Acceso",,
"Activate","Activar",,
"Active","Activo(a)",,
"Anonymization result","Resultado de anonimizacion",,
"App","App",,
"App GDPR","App RGPD",,
"App gdpr","App RGPD",,
"Archive","Archivar",,
"Archive data","Archivar datos",,
"Are you sure to cancel the request ?","Esta seguro que desea cancelar la solicitud?",,
"Are you sure to confirm the request ?","Esta seguro que desea confirmar la solicitud?",,
"Can not find object.","Imposible encontrar el objeto",,
"Cancel","Cancelar",,
"Canceled","Cancelado(a)",,
"Code","Codigo",,
"Comment","Comentario",,
"Configurations","Configuraciones",,
"Configure how the app will search the datas","Configurar el metodo de busqueda de la aplicaci�n",,
"Configure request origins","Configurar los origenes de solicitudes",,
"Confirm","Confirmar",,
"Confirmed","Confirmado(a)",,
"Data file","Archivo de datos",,
"Data processed","Datos procesados",,
"Datas to exclude configuration","Configuracion de datos a excluir",,
"Description","Descripcion",,
"Draft","Borrador",,
"Due sending date","Fecha limite de envio",,
"Elements to be excluded from the access request","Elementos a ser exlcluidos de la solicitud de acceso",,
"Email","Email",,
"Email template for access request response","Plantilla de email para respuesta a solicitud de acceso",,
"Email template for erasure request response","Plantilla de email para repuesta de solicitud de borrado",,
"Email template to send when responding to an access request.","Plantilla de email a enviar cuando se responda a una solicitud de acceso",,
"Email template to send when responding to an erasure request.","Plantilla de email a enviar cuando se responda a una solicitud de borrado",,
"Erasure","Borrado",,
"Error occurred","Ocurrio un error",,
"Error while sending the mail : %s","Ocurrio un error al enviar el correo: %s",,
"Field %s of model %s has not been anonymized. Please check manually.","El campo %s de el modelo %s no ha sido anonimizado. Por favor, verificar manualmente",,
"Field displayed in the result of the research","Campo desplegado en el resultado de la busqueda",,
"Fields","Campos",,
"First name","Nombre",,
"GDPR","RGPD",,
"GDPR Processing Register Log","Logs de registros de tratamiento",,
"GDPR Request","Solicitud RGPD",,
"GDPR app","App RGPD",,
"GDPR erasure log","Logs de borrado RGPD",,
"GDPR erasure logs","Logs de borrado RGPD",,
"GDPR processing register log","Logs de registros de tratamiento",,
"GDPR processing register logs","Logs de registros de tratamiento",,
"GDPR processing registers","Registros de tratamiento",,
"GDPR search configuration","Configuracion de busqueda RGPD",,
"GDPR search configuration lines","Lineas de configuracion de busqueda RGPD",,
"Gdpr processing register log list","Lista de logs de registros de tratamiento",,
"Gdpr processing register rule list","Lista de reglas de logs de registros de tratamiento",,
"Impossible to link with the children meta field %s, no mappedBy field found.","Imposible enlazar con los campos Meta hijos %s, ningun campo de enlace encontrado",,
"Indicate which date should be verified. If one of the date is after the retention date, the data will not be archived.","Indique cual fecha debe ser verificada. Si una de las fechas es posterior a la fecha de retencion, los datos no seran archivados",,
"JPQL filter to add to the query","Filtro JPQL a agregar a la consulta",,
"Key","Clave",,
"Label","Etiqueta",,
"Last name","Apellido",,
"Lead","Pista",,
"Mapping",,,
"Maximum days to respond","Dias maximos para responder",,
"Maximum number of days to respond to a request.","Dias maximos para responder a una solicitud",,
"Meta model","Modelo Meta",,
"Missing response email address","Falta direccion de email para respuesta",,
"Model","Modelo",,
"Model %s has been anonymized using the anonymizer %s.","El modelo %s ha sido anonimizado utilizando el anonimizador %s",,
"Model id","ID de modelo",,
"Model log","Log de modelo",,
"Model to search","Modelo a buscar",,
"Models","Modelos",,
"Name","Nombre",,
"Name of the key for the search engine","Nombre de la clave para el motor de busqueda",,
"No anonymizer found in app GDPR configuration.","Ningun anonimizador encontrado en la configuracion de App RGPD",,
"Number of records","Numero de registros",,
"Partner","Socios",,
"Phone","Telefono",,
"Please configure a mail template for access request response.","Por favor, configure una plantilla de correo para respuesta a solicitud de acceso",,
"Please configure a mail template for erasure request response.","Por favor, configure una plantilla de correo para respuesta a solicitud de borrado",,
"Please enter at least one field.","Por favor, introduzca al menos un campo",,
"Please select a line","Por favor, seleccione una linea",,
"Please select at least a pseudonymizer and/or choose to archive the data.","Por favor, seleccione al menos un pseudonimizador y/o la opcion para archivar los datos",,
"Please select only one line","Por favor, seleccione solamente una linea",,
"Processed finished","Proceso terminado",,
"Processing date","Fecha de procesado",,
"Processing register","Registro de procesado",,
"Processing register - Archiving","Registro de procesado - Archivo",,
"Processing register rule","Regla de registro de procesado",,
"Processing register rules","Reglas de registro de procesado",,
"Pseudonymizer","Pseudonimizador",,
"Pseudonymizer template to use when pseudonymizing datas.","Plantilla de pseudonimizador a usar al pseudonimizar datos",,
