"key","message","comment","context"
"0 %",,,
"10 %",,,
"100 %",,,
"20 %",,,
"30 %",,,
"40 %",,,
"50 %",,,
"60 %",,,
"70 %",,,
"80 %",,,
"90 %",,,
"ALL","Todos(as)",,
"All SLA","Todos los SLAs",,
"All ticket types","Todos los tipos de tickets",,
"All tickets","Todos los tickets",,
"App",,,
"App helpdesk","App soporte",,
"Apply on","Aplicar en",,
"Assign to me","Asignar a mi",,
"Assigned to","Asignado a",,
"Cancel","Cancelar",,
"Characteristics","Caracteristicas",,
"Close","Cerrar",,
"Closed","Cerrado(a)",,
"Code","Codigo",,
"Configuration","Configuracion",,
"Current tickets","Tickets en proceso",,
"Customer","Cliente",,
"Customer contact","Contacto de cliente",,
"Dates","Fechas",,
"Deadline","Fecha limite",,
"Description","Descripcion",,
"Duration","Duracion",,
"End date","Fecha de finalizacion",,
"Follow-up","Seguimiento",,
"From Date","Desde",,
"Full name","Nombre completo",,
"Helpdesk","Soporte",,
"High","Alto",,
"In progress","En proceso",,
"Late tickets","Tickets retrasados",,
"Low","Bajo",,
"Mail subject","Asunto de el correo",,
"Manage Timer","Administrar cronometro",,
"Minimum priority","Prioridad minima",,
"My team tickets","Tickets de mi equipo",,
"My tickets","Mis tickets",,
"Name","Nombre",,
"New","Nuevo(a)",,
"Normal","Normal",,
"Not assigned tickets","Tickets sin asignar",,
"Number of tickets per SLA & per team","Numero de tickets por SLA y por equipo",,
"Number of tickets per SLA & per user","Numero de tickets por SLA y por usuario",,
"Overview","Resumen",,
"Percentage","Porcentaje",,
"Percentage of repartition tickets per state","Porcentaje de reparto de tickets por estado",,
"Percentage of tickets per SLA & per team","Porcentaje de tickets por SLA y por equipo",,
"Percentage of tickets per SLA & per user","Porcentaje de tickets por SLA y por usuario",,
"Please select tickets","Por favor, seleccione los tickets",,
"Priority","Prioridad",,
"Progress","Progreso",,
"Progress (%)","Progreso (%)",,
"Project","Proyecto",,
"Projects","Proyectos",,
"Reach in","Alcanzado(a) en",,
"Reach stage","Etapa alcanzada",,
"Real total duration (Hours)","Duracion total real (en horas)",,
"Reportings","Reporteos",,
"Resolve","Resolver",,
"Resolved","Resuelto(a)",,
"SLA","SLA",,
"SLA Policy","Poliza SLA",,
"SLA completed","SLA completado",,
"SLA dashboard","Tablero SLA",,
"SLA policies","Polizas SLA",,
"SLA policy name","Nombre de poliza SLA",,
"Solved","Solucionado(a)",,
"Start","Iniciar",,
"Start date","Fecha de inicio",,
"Status","Estado",,
"Stop","Detener",,
"Subject","Asunto",,
"Take charge","Tomar cargo",,
"Target","Objetivo",,
"Team","Equipo",,
"Ticket","Ticket",,
"Ticket Closed","Ticket cerrado",,
"Ticket In Progress","Ticket en proceso",,
"Ticket In Resolved","Ticket resuelto",,
"Ticket Number","Numero de ticket",,
"Ticket NÂ°","Ticket no.",,
"Ticket Type","Tipo de ticket",,
"Ticket created","Ticket creado",,
"Ticket dashboard","Tablero de tickets",,
"Ticket filters","Filtros de tickets",,
"Ticket type","Tipo de ticket",,
"Ticket types","Tipos de tickets",,
"Tickets","Tickets",,
"Tickets by ticket type","Tickets por tipo de ticket",,
"Timer","Cronometro",,
"Timer list","Lista de cronometros",,
"Timer state","Estado de cronometro",,
"To Date","Hasta fecha",,
"Total duration (Hours)","Duracion total (horas)",,
"Total tickets","Total de tickets",,
"Unsolved","Sin solucionar",,
"Urgent","Urgente",,
"User","Usuario",,
"User in charge of the issue","Usuario a cargo de el problema",,
"Workflow to update status to value provided is not supported by ticket.","El proceso para actualizar el estado al valor proporcionado no es compatible con el ticket",,
"Working Days","Dias laborales",,
"chart.resolved","Resueltos",,
"days","dias",,
"hours","horas",,
"info",,,
"success","exito",,
"value:Helpdesk","Soporte",,
