"key","message","comment","context"
"%d expense treated successfully,","%d gasto procesado exitosamente",,
"%d expenses treated successfully,","%d gastos procesados exitosamente",,
"6 days week","6 dias por semana",,
"<a class='fa fa-facebook' href='http://www.facebook.com' target='_blank' />",,,
"<a class='fa fa-linkedin' href='http://www.linkedin.com' target='_blank' />",,,
"<a class='fa fa-twitter' href='http://www.twitter.com' target='_blank' />",,,
"<a class='fa fa-youtube' href='http://www.youtube.com' target='_blank' />",,,
"A leave request is already accepted over this or a portion of this period of time. Please cancel the previous one to accept this one.","Ya existe una solicitud de vacaciones aceptada para este periodo o parte de el. Por favor, cancele la solicitud anterior para aceptar esta",,
"ADD A LINE","Agregar linea",,
"Account information","Informacion contable",,
"Accounting","Contabilidad",,
"Acquired","Adquirido(a)",,
"Action","Accion",,
"Actions","Acciones",,
"Activate MyHR enables the HR menu entries for employees.","Activar MiRH habilita la entrada de menu RH para los empleados",,
"Active","Activo(a)",,
"Active employee","Empleado(a) activo(a)",,
"Active employees","Empleados activos",,
"Activity","Actividad",,
"Add a line","Agregar una linea",,
"Add an advance","Agregar un avance",,
"Add lines","Agregar lineas",,
"Advance","Avance",,
"Advance management","Administracion de avances",,
"Afternoon","Tarde",,
"Alert if the manuf. order is finish","Alertar cuando la orden de manufactura seleccionada sea terminada",,
"All","Todo",,
"All companies","Todas las companias",,
"All timesheets","Todos los calendarios",,
"Allow Injection","Permitir inyeccion",,
"Allow expense creation","Permitir creacion de gastos",,
"Allow negative value for leaves","Permitir valores negativos para vacaciones",,
"Allow negative values for employee leaves","Permitir valores negativos para vacaciones de empleados",,
"Allow to associate a product to the timesheet line (pre-requisite: only for product type that are services and Activity field is TRUE). Additional configuration can also be found in Application config --> Users/companies --> Companies --> Human resources config.","Permite asociar productos a lineas de calendarios (requisitos previos: solo para productos cuyo tipo sea 'servicio' y el campo 'Actividad' se encuentre marcado). Se pueden encontrar configuraciones adicionales en Configuraci�n de la aplicacion --> Usuarios/Companias --> Companias --> Seleccionar compania --> Configuracion de RH",,
"Allow updates via editor","Permitir actualizaciones via editor",,
"Alone meal","Comida individual",,
"Also export already exported payroll preparations","Exportar tambien preparaciones de pago ya exportadas",,
"Amendment","Modificacion",,
"Amendment Date","Fecha de modificacion",,
"Amendment type","Tipo de modificacion",,
"Amendment types","Tipos de modificaciones",,
"Amount","Monto",,
"Analytic distribution","Distribucion analitica",,
"Analytic distribution lines","Lineas de distribucion analitica",,
"Analytic distribution template","Plantilla de distribucion analitica",,
"Annual expenses report","Reporte anual de gastos",,
"Annual gross salary","Salario bruto anual",,
"Annual report","Reporte anual",,
"Anomaly","Anomalia",,
"App",,,
"App Expense","Gastos",,
"App Leave","Solicitudes de vacaciones",,
"App Timesheet","Calendarios",,
"App employee","Empleados",,
"App expense","Gastos",,
"App leave","Solicitudes de vacaciones",,
"App timesheet","Calendarios",,
"Application condition","Condicion de aplicacion",,
"Are you sure wants to remove selected lines?","Se encuentra seguro(a) de querer eliminar las lineas seleccionadas?",,
"Arriving city","Ciudad de destino",,
"Attach to","Adjuntar a",,
"Automatic generation dates must be included in the timesheet period","Las fechas de generacion automatica deben encontrarse incluidas en el periodo de calendario",,
"Available Stock of Lunch Vouchers","Existencias de tickets de restaurante disponibles",,
"Available quantity (acquired)","Cantidad disponible (adquirida)",,
"Available quantity (before validation)","Cantidad disponible (antes de validacion)",,
"Balance",,,
"Bank","Banco",,
"Bank Order","Orden bancaria",,
"Base amount per employee","Base de prima por empleado",,
"Basic information","Informacion basica",,
"Batches","Lotes",,
"Batchs","Lotes",,
"Birth date","Fecha de nacimiento",,
"Block expense tax modification","Bloquear introduccion de IVA en los informes de gastos",,
"Bonus coefficient","Coeficiente",,
"Bonus type","Tipo de bono",,
"Bonuses","Bonos",,
"CDD",,,
"COMPLEMENT","COMPLEMENTO",,
"CP",,,
"CSP",,,
"CSV",,,
"Calculate","Calcular",,
"Calculated","Calculado(a)",,
