"key","message","comment","context"
"Action","Accion",,
"Actions","Acciones",,
"All reached","Si todas las condiciones son cumplidas",,
"Allocate all","Asignar todos(as)",,
"Alternative Bill of materials","Lista de materiales alternativa",,
"Assigned to","Asignado(a) a",,
"BOM.machine","maquina",,
"Bill of materials","Lista de materiales",,
"Bills of material","Listas de materiales",,
"Bills of materials","Listas de materiales",,
"Cancel","Cancelar",,
"Cancel Reason","Razon de cancelacion",,
"Cancel reservation","Cancelar reservacion",,
"Canceled","Cancelado(a)",,
"Complete","Completo(a)",,
"Completed","Completado(a)",,
"Compute cost price","Calcular costo",,
"Configuration","Configuracion",,
"Consumed products","Productos consumidos",,
"Corrective","Correctivo(a)",,
"Cost","Costo",,
"Create maintenance request","Crear solicitud de mantenimiento",,
"Current requests","Solicitudes por realizar",,
"Cycles","Ciclos",,
"Dates","Fechas",,
"Days","Dias",,
"Deallocate all","Desasignar todo",,
"Default Bill of materials","Lista de materiales predeterminada",,
"Done on","Hecho el",,
"Duration (Hours)","Duracion (horas)",,
"End date","Fecha de finalizacion",,
"Equipement maintenance","Mantenimiento de equipo",,
"Equipement maintenances","Mantenimientos de equipo",,
"Event end date","Fecha de finalizacion de evento",,
"Event start date","Fecha de inicio de evento",,
"Expected date","Fecha esperada",,
"Finish","Terminar",,
"First reached","Si la primera condicion es cumplida",,
"General BoM","Lista de materiales general",,
"Generate new version","Generar nueva version",,
"Generate request each","Generar solicitud cada",,
"Hours of production","Horas de produccion",,
"In progress","En proceso",,
"MO's comment from sale order","Comentario de orden de manufactura desde orden de venta",,
"MO's comment from sale order line","Comentario de orden de manufactura desde linea de orden de venta",,
"Machine","Maquina",,
"Machine type","Tipo de maquina",,
"Machines","Maquinas",,
"Machines unavailable","Maquinas no disponibles",,
"Maintenance","Mantenimiento",,
"Maintenance Category","Categoria de mantenimiento",,
"Maintenance File","Archivo de mantenimiento",,
"Maintenance Procedure","Procedimiento de mantenimiento",,
"Maintenance Request","Solicitud de mantenimiento",,
"Maintenance Requests","Solicitudes de mantenimiento",,
"Maintenance comments","Comentarios de mantenimiento",,
"Maintenance order","Orden de mantenimiento",,
"Maintenance orders","Ordenes de mantenimiento",,
"Maintenance periods","Periodos de mantenimiento",,
"Maintenance task","Tarea de mantenimiento",,
"ManufOrder.machine","Maquina",,
"ManufOrder.machineType","Tipo de maquina",,
"Manufacturing Order","Orden de manufactura",,
"Merged MO","Orden de manufactura fusionada",,
"Missing equipement maintenance sequence.","Falta secuencia de mantenimiento de equipo",,
"My Maintenance requests","Mis solicitudes de mantenimiento",,
"Name","Nombre",,
"Next maintenance date","Siguiente fecha de mantenimiento",,
"Note","Nota",,
"Number of phases","Numero de fases",,
"Options","Opciones",,
"Outsourced","Subcontratado",,
"Partial Finish","Terminado parcial",,
"Pause","Pausa",,
"Permanent","Permanente",,
"Phases","Fases",,
"Plan","Plan",,
"Planned dates","Fechas planeadas",,
"Pre-fill operations","Operaciones previas a el llenado",,
"Preventive","Preventivo",,
"Print","Imprimir",,
"Print Production Process","Imprimir proceso de produccion",,
"ProdProcess.machine","Maquina",,
"Product","Producto",,
"Production process","Proceso de produccion",,
"Production processes","Procesos de produccion",,
"Real dates","Fechas reales",,
"Replan","Re-planificar",,
"Reports","Reportes",,
"Request By","Solicitud por",,
"Request date","Fecha de solicitud",,
"Request history","Historial de solicitudes",,
"Reserve all","Reservar todo",,
"Residual products","Productos residuales",,
"Resume","Resumir",,
"Sequence","Secuencia",,
"Start","Iniciar",,
"Start date","Fecha de inicio",,
"State","Estado",,
"Total Planned Duration","Duracion total planeada",,
"Total Real Duration","Duracion total real",,
"Type","Tipo",,
"Update planned quantities (Components and FP)","Actualizar cantidades planeadas (componentes y PT)",,
"Update product cost price","Actualizar costo de el producto",,
"Update real quantities (Components and FP)","Actualizar cantidades reales (componentes y PT)",,
"Version management","Administracion de versiones",,
"equipement.maintenance.code","Referencia",,
"equipement.maintenance.image","Imagen",,
"equipement.maintenance.name","Descripcion",,
"maintenance.request.planned","Planeado(a)",,
