"key","message","comment","context"
"Allow users to manage carrier option for customer deliveries.","Permitir a los usuarios administrar la opcion de transportista para entregas a cliente",,
"Allows users to fill in the username field on the login page with the qr code present on the user's form view.","Permite a los usuarios llenar en el campo de usuario en la pagina de inicio de sesion el codigo QR presenta en la vista de formulario de el usuario",,
"Allows you to customize the active menus for this application. If the menus are not configured then all the menus of the application are available.","Le permite personalizar los menus activos para esta aplicacion. Si los menus no se encuentran configurados, todos los menus de la aplicacion se encuentran disponibles",,
"Allows you to enable this package on the mobile application.","Le permite habilitar este paquete en la aplicaci�n movil",,
"App","App",,
"App configuration","Configuracion de la app",,
"App mobile","App movil",,
"App mobile settings","Ajustes de la app movil",,
"Authorized roles","Roles autorizados",,
"Barcode","Codigo de barras",,
"CRM","CRM",,
"CRM config","Configuracion de CRM",,
"Config CRM","Configurar CRM",,
"Config Helpdesk","Configurar soporte",,
"Config Production","Configurar produccion",,
"Config Stock","Configurar stock",,
"Customize menus","Personalizar menus",,
"Customize translations","Personalizar traducciones",,
"Enable addition of new lines in customer delivery.","Habilitar suma de nuevas lineas en entrega de cliente",,
"Enable addition of new lines in supplier arrival.","Habilitar suma de nuevas lineas en llegada de proveedor",,
"Enable app","Habilitar app",,
"Enable inventory validation.","Habilitar validacion de inventario",,
"Enable line addition","Habilitar adicion de lineas",,
"Enable line verification","Habilitar verificacion de lineas",,
"Enable line verification on customer deliveries","Habilitar verificacion de lineas en entregas de cliente",,
"Enable line verification on internal moves","Habilitar verificacion de lineas en movimientos internos",,
"Enable line verification on inventories","Habilitar verificacion de lineas en inventarios",,
"Enable line verification on supplier arrivals","Habilitar verificacion de lineas en llegada de proveedor",,
"Enable stock correction validation.","Habilitar validacion de correccion de stocl",,
"Enable tracker messages.","Habilitar mensajes de rastreo",,
"Enable validation","Habilitar validacion",,
"Enabling this setting, allows you to see on the mobile application the comments and changes that are tracked on the web application.","Al activar este parametro, puede ver en la aplicacion movil los comentarios y cambios que se registran en la aplicacion web",,
"For each of the following features, if configuration is enabled, users will be asked to confirm the tracking number or product of the line before accessing the details screen. If the setting is disabled, they will be able to access the details screen directly.","Para cada una de las siguientes funcionalidades, si la configuracion esta activada, los usuarios deberan confirmar el numero de seguimiento o el producto de la linea antes de acceder a la pantalla de detalles. Si la configuracion esta desactivada, podran acceder directamente a la pantalla de detalles",,
"General",,,
"General configuration","Configuracion general",,
"Generate QR Code","Generar codigo QR",,
"Generate barcode","Generar codigo de barras",,
"Helpdesk","Soporte",,
"Helpdesk config","Configuracion de soporte",,
"If this configuration is enabled, users can add new lines to the enabled feature on mobile application.","Si la configuracion esta activada, podra agregar nuevas lineas en la funcionalidad seleccionada desde la aplicacion movil",,
"If this configuration is enabled, users will be able to directly validate the enabled feature on mobile application.","Si la configuracion esta activada, usted podra validar directamente la funcionalidad seleccionada desde la aplicacion movil",,
"Indicates the minimal required version of the mobile application. If the user's version is different than the one indicated, the mobile app will require the user to update to have access to the app.","Indique la version minima requerida de la aplicacion movil. Si la version del usuario es diferente a esta, la aplicacion le obligara a actualizar la aplicacion para acceder a ella",,
"List of restricted menus for this application. If this field is empty then all menus are displayed on the mobile application. If a menu is added to the list then its display is restricted to the associated roles. Menus that are not in the list will be visible to all users.","Lista de menus reducidos para esta aplicacion. Si este campo esta vacio, entonces todos los menus se mostraran en la aplicacion movil. Si se anade un menu a la lista, entonces su visualizacion se reduce a los roles asociados. Los menus que no estan en la lista seran visibles para todos los usuarios",,
"List of roles that have access to this application menu. If the field is empty then nobody has access to this menu. If it contains at least one role then only users with one of the roles present have access to the menu. However, if the application itself has restrictions on roles then the user must have a role included in the roles allowed for the application concerned as well as a role filled in this field.","Lista de roles que tienen acceso a este menu de la aplicacion. Si el campo esta vacio, entonces nadie tiene acceso a este menu. Si contiene al menos un rol, entonces solo los usuarios que tienen uno de los roles presentes tienen acceso al menu. Sin embargo, si la aplicacion en s� tiene restricciones sobre roles, entonces el usuario debe tener un rol incluido en los roles autorizados para la aplicacion en cuestion, asi como un rol especificado en este campo",,
"List of roles that have access to this application. If the field is empty then everyone has access to the application. If it contains at least one role then only users with one of the roles present have access to the application.","Lista de roles con acceso a esta aplicacion. Si el campo esta vac�o, entonces todo el mundo tiene acceso a la aplicacion. Si contiene al menos un rol, entonces solo los usuarios que tienen uno de los roles presentes tienen acceso a la aplicacion",,
"Manage carrier option","Adminsitrar opcion de transportista",,
"Manufacturing","Manufactura",,
"Menu name","Nombre de menu",,
"Menus config","Configuracion de menus",,
"Minimal required version of the mobile application.","Version minima requerida de la aplicacion movil",,
"Mobile Menu","Menu movil",,
"Mobile Menus","Menus moviles",,
"Mobile app","App movil",,
"Mobile apps","Apps moviles",,
"Mobile config","Configuracion movil",,
"Mobile tracebacks","Rastreo movil",,
"Mobile translations","Traducciones moviles",,
"On customer deliveries","En entregas a cliente",,
"On internal moves","En movimientos internos",,
"On inventories","En inventarios",,
"On stock corrections","En corecciones de stock",,
"On supplier arrivals","En llegadas de proveedores",,
"Production config","Configuracion de produccion",,
"Restricted menus","Menus restringidos",,
"Stock","Stock",,
"Stock config","Configuracion de stock",,
"Technical name","Nombre tecnico",,
"Technical name should be the menu key used in module export on mobile application.","El nombre tecnico debe ser la clave de menu utilizada en el modulo de exportacion en la app movil",,
"Use qrCode for user connection","Usar codigo QR para conexion de usuario",,
"User","Usuario",,
"View tracebacks","Ver rastreos",,
