"key","message","comment","context"
"% Gap","% de diferencia",,
"%d MO created.","%d ordenes de manufacturas creadas",,
"%s building","%s en produccion",,
"%s consume","%s en consumo",,
"%s missing","%s faltante",,
"* %s Computed work in progress valuation","Valorizacion de trabajo en proceso calculada",,
"105",,,
"5",,,
"A cancel reason must be selected","Se debe seleccionar una razon de cancelacion",,
"Action","Accion",,
"Actions","Acciones",,
"Add Manuf. Order","Orden de manufactura",,
"Add components in bulk","Agregar componentes en masa",,
"Add to components","Agregar a componentes",,
"All Child MO","Agregar orden de manufactura hijo",,
"All Current Manufacturing Orders","Todas las ordenes de manufactura en proceso",,
"All Upcoming Manufacturing Orders","Todas las ordenes de manufactura futuras",,
"All products has been consumed","Todos los productos han sido consumidos",,
"Allocate","Asignar",,
"Allocate all","Asignar todo",,
"Alternative Bill of materials","Lista de materiales alternativa",,
"App",,,
"App manufacturing","App produccion",,
"App production","App produccion",,
"Applicable","Aplicable",,
"Approval","Aprobacion",,
"Are you sure you want to merge those manufacturing orders?","Se encuentra seguro(a) que desea fusionar las ordenes de manufactura?",,
"Auto request qty for manuf orders","Solicitar automaticamente reservacion para orden de manufactura",,
"Automatic email was not sent because no default email account and/or no valid email account was found : please create one.","El email automatico no pudo ser enviado ya que no se encontro y/o no es valida la cuenta SMTP predeterminada. Por favor, configurela",,
"Automatically plan after fusion","Planificar automaticamente despues de fusion",,
"Automatically plan the manuf. orders generated from sale order","Planificar automaticamente las ordenes de manufactura generadas desde ordenes de venta",,
"Available stock","Stock disponible",,
"Average Price","Precio medio ponderado (PMP)",,
"BOM","Lista de materiales",,
"BOM currently has no status","Lista de materiales no cuenta con estado",,
"BOM is already on draft status","Lista de materiales ya se encuentra en estado de Borrador",,
"BOM.billOfMaterialList","Componentes",,
"BOM.company","Compania",,
"BOM.defineSubBillOfMaterial","Definir sub-lista de materiales",,
"BOM.hasNoManageStock","No administrar stock",,
"BOM.priority","Prioridad",,
"BOM.qty","Cantidad",,
"BOM.residualProducts","Productos residuales",,
"BOM.title","Listas de materiales",,
"BOM.unit","Unidad",,
"BOM.versionNumber","Numero de version",,
"BOMs","Lineas de lista de materiales",,
"Back to draft","Retornar a estado de Borrador",,
"Barcode","Codigo de barras",,
"Barcode Type","Tipo de codigo de barras",,
"Batchs","Lotes",,
"Bill of Materials","Lista de materiales",,
"Bill of material","Lista de materiales",,
"Bill of materials","Listas de materiales",,
"BillOfMaterial","Lista de materiales",,
"Bills of material","Listas de materiales",,
"Bills of material filters","Filtros de listas de materiales",,
"Bills of materials","Listas de materiales",,
"BoM","Lista de materiales",,
"Bom child tree list","Ver arbol de hijos de lista de materiales",,
"Bom level","Nivel de lista de materiales",,
"Bom tree list","Ver arbol de lista de materiales",,
"Brand","Fabricante",,
"Buying currency","Moneda de compra",,
"Buying date","Fecha de compra",,
"Buying price","Precio de compra",,
