"key","message","comment","context"
"%s project","Proyecto %s",,
"0 %",,,
"1 week","1 semana",,
"10 %",,,
"100 %",,,
"2 weeks","2 semanas",,
"20 %",,,
"3 weeks","3 semanas",,
"30 %",,,
"40 %",,,
"50 %",,,
"60 %",,,
"70 %",,,
"80 %",,,
"90 %",,,
"<< Previous","<< Anterior",,
"Accept Order","Aceptar orden",,
"Actions","Acciones",,
"Activities","Actividades",,
"Activity","Actividad",,
"Add Section","Anadir seccion",,
"Add Subtask","Anadir tarea",,
"Add Task","Anadir tarea",,
"Add multiple lines","Anadir multiples lineas de actividades provisionales",,
"Add selected lines","Anadir lineas seleccionadas",,
"Add tags","Anadir etiquetas",,
"Added by","Anadido(a) por",,
"All completed tasks","Todas las tareas completadas",,
"All open tasks","Todas las tareas abiertas",,
"All tasks","Todas las tareas",,
"Alphabetical","En orden alfabetico",,
"Analytic","Analitico",,
"Announcement","Aviso",,
"App",,,
"App project","App Proyecto",,
"Apply modifications to next tasks","Aplicar modificaciones a tareas siguientes",,
"Are you sure you want to delete this task ?","Se encuentra seguro(a) de querer eliminar la tarea?",,
"Assigned to","Asignado(a) a",,
"Assignee","Asignado(a)",,
"Assigning to the customer","Asignar a cliente",,
"Assigning to the provider","Asignar a prestador",,
"Attrs","Atributos",,
"Book resource","Reservar recurso",,
"Business","Proyecto",,
"Business project","Proyecto",,
"Calendar","Calendario",,
"Cancel","Cancelar",,
"Cannot delete section with tasks","Imposible eliminar una seccion que contiene una o mas tareas",,
"Categories?","Categorias?",,
"Category","Categoria",,
"Characteristics","Caracteristicas",,
"Check availability of resources","Verificar disponibilidad de recursos",,
"Client partner","Socio cliente",,
"Close topic","Cerrar tema",,
"Closed","Cerrado(a)",,
"Code","Codigo",,
"Company","Compania",,
"Completed ?","Completado(a)?",,
"Completed tasks","Tareas terminadas",,
"Configuration","Configuracion",,
"Configurations","Configuraciones",,
"Consolidate sub project when invoicing","Consolidar sub-proyectos al facturar",,
"Content","Contenido",,
"Context project","Contexto de proyecto",,
"Contracts","Contratos",,
"Convert Task to Project","Convertir tarea en proyecto",,
"Convert to project","Convertir en proyecto",,
"Copied to clipboard","Copiado(a) a portapapeles",,
"Copy task link","Copiar enlace de tarea",,
"Copy task name","Copiar nombre de tarea",,
"Create New Task","Crear nueva tarea",,
"Create business project from this template","Crear proyecto a partir de plantilla",,
"Create invoicing project","Facturar proyecto",,
"Create new customer contract","Crear nuevo contrato de cliente",,
"Create new supplier contract","Crear nuevo contrato de proveedor",,
"Create project from this template","Crear proyecto a partir de plantilla",,
"Currency","Moneda",,
"Current project","Proyecto actual",,
"Custom field","Campo personalizado",,
"Custom fields","Campos personalizados",,
"Customer","Cliente",,
"Customer Contact","Contacto de cliente",,
"Customer Invoice lines","Lineas de factura de cliente",,
"Customer contracts","Contratos de cliente",,
"Daily planned charge in a month in an average per employee","Carga diaria mensual promedio por empleado",,
"Daily planned charge in a month per employee","Carga diaria mensual por empleado",,
"Daily planned charge in a month per project","Carga diaria mensual por proyecto",,
"Date","Fecha",,
"Date or frequency changed","Fecha o frecuencia modificada",,
"Dates","Fechas",,
"Deadline","Fecha limite",,
"Deadline Today","Fecha limite hoy",,
"Deadline Tomorrow","Fecha limite manana",,
"Deadline Yesterday","Fecha limite ayer",,
"Decimal","Decimal",,
"Default completed","Completado(a) predeterminado",,
"Default priorities","Prioridades predeterminadas",,
"Default task status","Estado predeterminado de tareas",,
"Delay to start (Hours)","Retraso para iniciar (horas)",,
"Delete Permanently","Eliminar permanentemente",,
"Delete Section","Eliminar seccion?",,
"Delete Task","Eliminar tarea",,
"Delete task btn","Boton eliminar tarea",,
"Description","Descripcion",,
"Details","Detalles",,
"Due Date","Fecha limite",,
"Due next week","Programado(a) para la proxima semana",,
"Due this week","Programado(a) para esta semana",,
"Duplicate task","Duplicar tarea",,
"Duration (Hours)","Duracion (horas)",,
"Duration hours","Duracion (horas)",,
"Employee","Empleado(a)",,
"Enable Gantt view","Habilitar vista Gantt",,
"Enable Kanban view per section","Habilitar vista Kanban por seccion",,
"Enable Kanban view per status","Habilitar vista Kanban por estado",,
"Enable calendar view per section","Habilitar vista calendario por seccion",,
"Enable calendar view per status","Habilitar vista calendario por estado",,
"Enable calendar view per user","Habilitar vista calendario por usuario",,
"Enable per project task sequence","Habilitar administracion de secuencia por proyecto",,
"Enable task signature","Habilitar firma de tarea",,
"Estimated time","Tiempo estimado",,
"Estimated time (in hours)","Tiempo estimado (en horas)",,
