"key","message","comment","context"
"50 Latest Supplier Orders","Ultimas 50 ordenes de clientes",,
"A tax line is missing","Falta una linea de impuestos",,
"ABC analysis","Clasificacion ABC",,
"ATI","Todos los impuestos incluidos",,
"AbcAnalysis.endDate","Fecha de finalizacion:",,
"AbcAnalysis.startDate","Fecha de inicio:",,
"Accept","Aceptar",,
"Accepted","Aceptado(a)",,
"Actions","Acciones",,
"Add","Anadir",,
"Advance payment A.T.I. total","Total con impuestos de pago por adelantado",,
"Advance payment total","Total de pago por adelantado",,
"Amount","Monto",,
"Amount A.T.I.","Monto con impuestos incluidos",,
"Amount Tax","Monto de impuestos",,
"Amount invoiced W.T.","Monto facturado sin impuestos",,
"Amount to be spread over the timetable","Monto a distribuir en calendario",,
"Analytic distribution","Distribucion analitica",,
"Analytic distribution required on purchase order line","Requerir plantilla de distribucion analitica en linea de orden de compra",,
"Analytics","Analisis",,
"App",,,
"App purchase","App Compras",,
"Back to validated order","Regresar a estado Validado",,
"Base W.T.","Base sin impuestos",,
"Business Project","Proyecto",,
"Business project","Proyecto",,
"Buyer","Comprador",,
"Calculated price/Qty","Precio calculado/cantidad",,
"Can not cancel already canceled purchase request.","No es posible cancelar una orden de compra ya cancelada",,
"Can only accept requested purchase request.","Solo es posible aceptar una orden de compra Solicitada",,
"Can only cancel drafted, requested or validated purchase order.","Solo es posible cancelar una orden de compra Borrador, Solicitada o Validada",,
"Can only finish validated purchase order.","Solo es posible terminar una orden de compra Validada",,
"Can only purchase accepted purchase request.","Solo es posible comprar una orden de compra Aceptada",,
"Can only refuse requested purchase request.","Solo es posible rechazar una orden de compra Solicitada",,
"Can only request drafted purchase order.","Solo es posible solicitar una orden de compra Borrador",,
"Can only request drafted purchase request.","Solo es posible solicitar una solicitud de compra Borrador",,
"Can only return to draft from canceled purchase request.","Solo es posible regresar a borrador una solicitud de compra Cancelada",,
"Can only return to draft from cancelled purchase order.","Solo es posible regresar a borrador una orden de compra Cancelada",,
"Can only validate requested purchase order.","Solo es posible validar una orden de compra Solicitada",,
"Cancel","Cancelar",,
"Cancel receipt","Cancelar recepcion",,
"Canceled","Cancelado(a)",,
"Characteristics","Caracteristicas",,
"ChartPO.saleOrder","Ordenes",,
"Closed Purchase orders","Ordenes de compra cerradas",,
"Code","Codigo",,
"Company","Compania",,
"Company bank","RIB de compania",,
"Configuration","Configuracion",,
"Confirm","Confirmar",,
"Confirm merge purchase order","Confirmar fusion de ordenes",,
"Confirmation","Confirmacion",,
"Contact","Contacto",,
"Contact partner","Contacto",,
"Contacts","Contactos",,
"Content","Contenido",,
"Currency","Moneda",,
"Current purchase quotations / orders","Cotizaciones/Ordenes de compra en curso",,
"Customer specific note","Nota especifica de cliente",,
"Dashboard","Tablero",,
"Dates","Fechas",,
"Default unit","Unidad predeterminada",,
"Delivery","Entrega",,
"Description","Descripcion",,
"Description To Display","Descripcion a desplegar",,
"Desired receipt date","Fecha de recepcion deseada",,
"Discount amount","Monto de descuento",,
"Discount rate","Tasa de descuento",,
"Discount type","Tipo de descuento",,
"Display buyer on printing","Desplegar comprador en impresion",,
"Display price on requested purchase printing","Desplegar precio en orden de cotizacion",,
"Display product code on printing","Desplegar codigo de producto en impresion",,
"Display product detail on printing","Desplegar detalle de productos en impresion",,
"Display purchase order line number","Desplegar numeros de lineas de orden",,
"Display supplier code on printing","Desplegar codigo de proveedor en impresion",,
"Display tax detail on printing","Desplegar detalle de impuestos en impresion",,
"Displayed Product name","Etiqueta de producto a mostrar",,
"Draft","Borrador",,
"Enable product description copy","Habilitar copia de descripcion de productos",,
"End date","Fecha de finalizacion",,
"Estim. receipt date","Fecha de recepcion estimada",,
"Estimated receipt date","Fecha de recepcion estimada",,
"Filter on supplier","Filtrar para proveedor",,
"Filter products by trading name","Filtrar productos para nombres comerciales",,
"Finish the order","Terminar orden",,
"Finished","Terminado(a)",,
"Fiscal position","Posicion fiscal",,
"Fixed Assets","Activos fijos",,
"Follow-up","Seguimiento",,
"Freeze fields","Congelar campos",,
"From Date","Fecha de inicio",,
"Full name","Referencia",,
"Generate PO","Generar orden de compra",,
"Generate control invoice","Generar factura de control",,
"Generate purchase configurations","Generar configuraciones de compra",,
"Generate supplier arrival","Generar recepcion de proveedor",,
"Generate suppliers requests","Generar orden de cotizacion de proveedor",,
"Group by product","Generar por producto",,
"Group by supplier","Generar por proveedor",,
"Group products on printings","Agrupar productos en impresion",,
"Historical","Historial",,
"Historical Period","Periodo de historial",,
"In ATI","En impuestos incluidos",,
"In Stock Moves","Recepcion de proveedor",,
"Information","Informacion",,
"Internal Note","Nota interna",,
"Internal Ref.","Referencia interna",,
"Internal note","Nota interna",,
"Internal purchase requests","Solicitudes de compra internas",,
"Invoice Lines","Lineas de factura",,
"Invoiced","Facturado(a)",,
"Invoices","Facturas",,
"Invoicing","Facturacion",,
"Last update","Ultima modificacion",,
"Manage multiple purchase quantity","Administrar cantidades multiples de compra",,
"Manage purchase order versions","Administrar versiones de orden de compra",,
"Manage purchases unit on products","Administrar unidades de compra en productos",,
"Manage supplier catalog","Habilitar administracion de catalogo de proveedores",,
"Maps","Mapa",,
"Max purchase price","Precio de compra maximo",,
"Merge into single purchase order","Fusionar en una sola orden de compra",,
"Merge purchase orders","Fusionar ordenes de compra",,
"Merge quotations","Fusionar cotizaciones",,
"Message for requesting prices","Mensaje de solicitud de cotizacion",,
"Month","Mes",,
"My Closed Purchase orders","Mis ordenes de compra cerradas",,
"My Ongoing Purchase orders","Mis ordenes de compra en curso",,
"My Orders to process","Mis ordenes de compra a procesar",,
"My Purchase orders","Mis ordenes de compra a procesar",,
"My RFQs","Mis solicitudes de cotizacion",,
"My RFQs and POs To Validate","Mis solicitudes de cotizacion",,
"My Sales","Mis ventas",,
"My Validated POs","Mis ordenes de compra validadas",,
