"key","message","comment","context"
"0",,,
"1",,,
"2",,,
"3",,,
"4",,,
"5",,,
"Action proposed","Accion propuesta",,
"Actions","Acciones",,
"Add optional control points","Agregar puntos de control opcional",,
"Alert calendar","Calendario de alertas",,
"App",,,
"App quality","App calidad",,
"Applicable","Aplicable",,
"Automatic mail by completing quality control","Envio automatico de correo al terminar control de calidad",,
"Calendar","Calendario",,
"Cancel","Cancelar",,
"Canceled","Cancelado(a)",,
"Choose quality process","Escoger proceso de calidad",,
"Close","Cerrar",,
"Code","Codigo",,
"Coefficient","Coeficiente",,
"Compliant","Conforme",,
"Configuration","Configuracion",,
"Confirm","Confirmar",,
"Confirmed","Confirmado(a)",,
"Conformity","Conformidad",,
"Control Frequency","Frecuencia de control",,
"Control Points","Puntos de control",,
"Control comment","Comentario de control",,
"Control point","Punto de control",,
"Control point list","Lista de puntos de control",,
"Control point model list","Lista de modelos de puntos de control",,
"Control point name","Nombre",,
"Control point type","Tipo de punto de control",,
"Control points","Puntos de control",,
"Corrective actions","Acciones correctivas",,
"Corrective actions list","Lista de acciones correctivas",,
"Customer signature","Firma de cliente",,
"Date","Fecha",,
"Deadline","Fecha limite",,
"Description","Descripcion",,
"Details","Detalles",,
"Done","Hecho(a)",,
"Draft","Borrador",,
"Edit control points","Editar puntos de control",,
"End date","Fecha de finalizacion",,
"File","Archivo",,
"Finish","Terminar",,
"Finished","Terminado(a)",,
"From Date","Fecha de inicio",,
"Full name","Nombre completo",,
"High","Alto",,
"In progress","En proceso",,
"Inspector signature","Firma de inspector(a)",,
"Label","Etiqueta",,
"Low","Bajo",,
"Measuring Type","Tipo de medida",,
"Measuring point list","Lista de puntos de medida",,
"Measuring points","Puntos de medida",,
"Model for quality control","Modelo para control de calidad",,
"My alerts","Mis alertas",,
"My quality controls","Mis controles de calidad",,
"My team alerts","Mis alertas de equipo",,
"My team quality controls","Mis controles de calidad de equipo",,
"Name","Nombre",,
"New","Nuevo(a)",,
"Normal","Normal",,
"Note",,,
"Notes","Notas",,
"Number of quality alerts by team","Numero de alertas de calidad por equipo",,
"Number of quality control by team","Numero de controles de calidad por equipo",,
"Number of solved quality alerts by team","Numero de alertas de calidad resueltas por equipo",,
"Observations","Observaciones",,
"On hold","En espera",,
"Optional control point list","Lista de puntos de control opcionales",,
"Optional control points","Puntos de control opcionales",,
"Optional quality control","Control de calidad opcional",,
"Optional quality process","Proceso de calidad opcional",,
"Pause","Pausa",,
"Pictures","Imagenes",,
"Plan","Planificar",,
"Planned","Planificado(a)",,
"Please complete all control points","Por favor, complete todos los puntos de control",,
"Please fill printing settings on quality control","Por favor, llene los ajustes de impresi�n para el control de calidad",,
"Pre-fill control points","Pre-llenar puntos de control",,
"Preventive actions","Acciones preventivas",,
"Print","Imprimir",,
"Printing settings","Ajustes de impresion",,
"Priority","Prioridad",,
"Product","Producto",,
"Project","Proyecto",,
"Propose action","Proponer accion",,
"Quality","Calidad",,
"Quality Dashboard","Tablero de calidad",,
"Quality alert","Alerta de calidad",,
"Quality alert filters","Filtros de alertas de calidad",,
"Quality alerts","Alertas de calidad",,
"Quality control","Control de calidad",,
"Quality control calendar","Calendario de controles de calidad",,
"Quality control filters","Filtros de controles de calidad",,
"Quality controls","Controles de calidad",,
"Quality process","Proceso de calidad",,
"Quality processes","Procesos de calidad",,
"Quality tag","Etiqueta de calidad",,
"Quality teams","Equipos de calidad",,
"QualityControl","Control de calidad",,
"QualityControl.coefficient","Coeficiente",,
"QualityControl.correctiveActions","ACCIONES CORRECTIVAS",,
"QualityControl.customerSignature","CLIENTE",,
"QualityControl.endDate","FECHA",,
"QualityControl.finalNote","Nota final",,
"QualityControl.generalObservation","Observacion general",,
"QualityControl.inspectorSignature","INSPECTOR",,
"QualityControl.measuringNote","Nota",,
"QualityControl.observation","Observacion",,
"QualityControl.project","Obra",,
"QualityControl.projectClient","CLIENTE",,
"QualityControl.qualityControlTitle","CONTROL DE CALIDAD",,
"QualityControl.reference","Numero de control",,
"QualityControl.responsible","RESPONSABLE",,
"QualityControl.total","Total",,
"Reference","Referencia",,
"Reportings","Reporteos",,
"Root cause","Origen de problema",,
"Root causes","Origenes de problemas",,
"Send email","Enviar email",,
"Sequence","Secuencia",,
"Solve","Resolver",,
"Solved","Resuelto(a)",,
"Standby","En pausa",,
"Start","Iniciar",,
"Start date","Fecha de inicio",,
"Status","Estado",,
"Status select","Estado",,
"Tag color","Color de etiqueta",,
"Tags","Etiquetas",,
"Team","Equipo",,
"To Date","Fecha de finalizacion",,
"Tools","Herramientas",,
"Type","Tipo",,
"Urgent","Urgente",,
"Week(s)","Semana(s)",,
"Work center","Centro de trabajo",,
"counter","Contador",,
"quality.responsible","Responsable",,
"value:Quality","Calidad",,
