"key","message","comment","context"
"%s : You must configure Sales module for company %s","%s : Se debe configurar un modulo de ventas para la compa�ia %s",,
"A JavaScript boolean expression against the current form values.","Una expresion booleana de JavaScript contra los valores actuales del formulario",,
"A cancel reason must be selected","Se debe seleccionar una razon para la cancelacion",,
"ABC analysis","Analisis ABC",,
"AI Picture Lookup","Busqueda de imagen con IA",,
"ATI","Impuestos incluidos",,
"AbcAnalysis.endDate","Fecha de finalizacion:",,
"AbcAnalysis.startDate","Fecha de inicio:",,
"Accepted Credit","Credito aceptado",,
"Access to parent sale order","Acceder a orden de venta padre",,
"Accounted Revenue","Ingresos contabilizados",,
"Accounting Family sale turnover (Excl. Tax) per month","Facturacion de venta de familia contable por mes (excl. impuestos)",,
"Action","Accion",,
"Actions","Acciones",,
"Activate","Activar",,
"Add Line from Configurator","Agregar linea del configurador",,
"Add Pack","Agregar paquete",,
"Add a pack","Agregar un paquete",,
"Adv. payment amount","Monto de pago por adelantado",,
"Advance Payment","Pago por adelantado",,
"Advance Payments","Pagos por adelantado",,
"Advance payment A.T.I. total","Total de pago por adelantado (Impuestos incluidos)",,
"Advance payment amount needed","Monto necesario de pago por adelantado",,
"Advance payment needed","Pago por adelantado necesario",,
"Advance payment total","Total de pago por adelantado",,
"Advance payments","Pagos por adelantado",,
"Ai picture lookup","Busqueda de imagen con IA",,
"All customer credit will be updated.","Todo el credito a cliente sera actualizado",,
"Allocate","Asignar",,
"Allocate all","Asignat todo",,
"Allocated stock","Stock asignado",,
"Allow pending order modification","Permitir modificacion de ordenes pendientes",,
"Amount","Monto",,
"Amount A.T.I.","Monto con impuestos incluidos",,
"Amount Tax","Monto de impuestos",,
"Amount invoiced W.T.","Monto facturado sin impuestos",,
"Amount to be spread over the timetable","Monto a distribuir en el calendario",,
"An attribute with the same name already exists.","Ya existe un atributo con el mismo nombre",,
"Analytic distribution","Distribucion analitica",,
"Analytic distribution required on sale order line","Distribucion analitica requerida en linea de orden de venta",,
"Analytics","Analitica",,
"App","App",,
"App sale","App Venta",,
"At least one sale order line has a stock move with availability request.","Al menos una linea de orden de venta tiene movimientos de stock con solicitud de disponibilidad",,
"Attributes","Atributos",,
"Authorizations","Autorizaciones",,
"Authorized groups","Grupos autorizados",,
"Authorized users","Usuarios autorizados",,
"Availability Request","Solicitud de disponibilidad",,
"Availability request","Solicitud de disponibilidad",,
"Available stock","Stock disponible",,
"Average margin rate","Tasa de margen promedio",,
"Average margin rate per customer","Tasa de margen promedio por cliente",,
"Average markup","Margen de beneficio promedio",,
"Average markup per customer","Margen de beneficio promedio por cliente",,
"Average price","Precio promedio",,
"Back to confirmed order","Retroceder a orden confirmada",,
"Base W.T.","Base sin impuestos",,
"Batchs","Lotes",,
"Bi-monthly","Bimestralmente",,
"Blocked","Bloqueado",,
"Business Project","Proyecto de negocio",,
"Business project","Proyecto de negocio",,
"Calculated fields on configurator","Campos calculados en configurador",,
"Can only cancel a drafted or finalized sale order.","Solo se puede cancelar un borrador o una orden de venta finalizada",,
"Can only complete a confirmed sale order.","Solo se puede completar una orden de venta confirmada",,
"Can only confirm a finalized quotation.","Solo se puede confirmar una cotizacion finalizada",,
"Can only finalize a drafted quotation.","Solo se puede finalizar un borrador de cotizacion",,
"Cancel","Cancelar",,
"Cancel Reason","Cancelar razon",,
"Cancel Reasons","Cancelar razones",,
"Cancel reason","Cancelar razon",,
"Cancel reservation","Cancelar reservacion",,
"Canceled","Cancelado",,
"Cancellation","Cancelacion",,
"Cancellation confirmation","Confirmacion de cancelacion",,
"Category","Categoria",,
"Category sale turnover (Excl. Tax) per month","Facturacion de venta de categoria por mes (excl. impuestos)",,
"Change allocated qty","Cambiar cantidad asignada",,
"Change requested reserved qty","Cambiar cantidad solicitada reservada",,
"Changes were made to the configurator creator. Please activate the configurator creator to use it.","Se hicieron cambios al creador de configurador. Por favor, active el creador de configurador para usarlo",,
"Characteristics","Caracteristicas",,
"Check the script","Verificar script",,
"Classification rule used: %s","Regla de clasificacion usada: %s",,
"Client box in sale order","Caja de cliente en orden de venta",,
"Client is sale blocked:","Ventas bloqueadas para cliente:",,
"Close opportunity when one of the linked sale orders is confirmed","Cerrar oportunidad cuando una de las ordenes de venta enlazadas sea confirmada",,
"Code","Codigo",,
"Comment","Comentario",,
"Comment to display","Comentario a desplegar",,
"Comment to display on delivery","Comentario a desplegar al entregar",,
"Comment to display on invoice","Comentario a desplegar en factura",,
"Comment to display on picking order","Comentario a desplegar en orden de preparacion",,
"Comment to display on proforma","Comentario a desplegar en proforma",,
"Company","Compania",,
"Company bank","Banco de compania",,
"Company currency","Moneda de compania",,
"Complementary lines","Lineas complementarias",,
"Complementary product","Producto complementario",,
"Complementary product list","Lista de productos complementarios",,
"Complementary product(s)","Producto(s) complementario(s)",,
"Complementary products","Productos complementarios",,
"Complete manually sale order","Completar orden de venta manualmente",,
"Components","Componentes",,
"Compute lines with pricing scale","Calcular lineas con escala de precios",,
"Conditions","Condiciones",,
"Configuration","Configuracion",,
"Configurator","Configurador",,
"Configurator BoM","Configurador de lista de materiales",,
"Configurator creator filters","Filtros de creador de configurador",,
"Configurator creator name","Nombre de creador de configurador",,
"Configurator creators","Creadores de configurador",,
"Configurator formula list","Lista de formulas de configurador",,
"Configurator model","Modelo de configurador",,
"ConfiguratorCreator","Creador de configurador",,
"ConfiguratorCreators","Creadores de configurador",,
"Configurators","Configuradores",,
"Configure","Configurar",,
"Confirm cancellation","Confirmar cancelacion",,
"Confirm merge sale order","Confirmar fusion de ordenes de ventas",,
"Confirm order","Confirmar orden",,
"Confirmation","Confirmacion",,
"Confirmation date","Fecha de confirmacion",,
"Confirmed by","Comfirmado por",,
"Confirmer","Confirmador",,
"Consider zero cost and zero price lines in the margin","Considerar costo cero y lineas de precio cero en el margen",,
"Contact partner","Contactar socio",,
"Contacts","Contactos",,
"Content","Contenido",,
"Contract end date","Fecha de fin de contrato",,
"Contract period in months","Periodo de contrato en meses",,
"Contract start date","Fecha de inicio de contrato",,
"Copy needing update","Copia necesita actualizar",,
"Country","Pais",,
"Create Order from this Template","Crear orden a partir de esta plantilla",,
"Create the quotation","Crear cotizacion",,
"Creation date","Fecha de creacion",,
"Creation for every sale order lines","Creacion para todas las lineas de orden de venta",,
"Creation for the sale order","Creacion para la orden de venta",,
"Currency","Moneda",,
"Current Login user","Usuario actual de inicio de sesion",,
"Current User","Usuario actual",,
"Custom css class to apply.","Clase CSS personalizada a aplicar.",,
"Custom field","Campo personalizado",,
"Custom fields","Campos personalizados",,
"Customer","Cliente",,
"Customer Catalog","Catalogo de clientes",,
"Customer Catalog Lines","Lineas de catalogo de clientes",,
"Customer Credit","Credito de cliente",,
"Customer catalog lines","Lineas de catalogo de clientes",,
"Customer contact","Contacto de cliente",,
"Customer deliveries","Entregas de cliente",,
"Customer deliveries details","Detalles de entregas de cliente",,
"Customer information","Informacion de cliente",,
"Customer reference","Referencia de cliente",,
"Customer specific note","Nota especifica de cliente",,
"Customers","Clientes",,
"Customers / prospects","Clientes/prospectos",,
"Customize BOM","Personalizar lista de materiales",,
"Dashboard","Tablero",,
"Data file","Archivo de datos",,
"Date","Fecha",,
"Dates","Fechas",,
"Day","Dia",,
"Deallocate","Desasignar",,
"Deallocate all","Desasignar todo",,
"Default holdback percentage","Porcentaje de retencion predeterminado",,
"Default unit","Unidad predeterminada",,
"Define as template","Definir como plantilla",,
"Delivered","Entregado",,
"Delivered quantity","Cantidad entregada",,
"Delivery","Entrega",,
"Delivery address","Direccion de entrega",,
"Delivery conditions","Condiciones de entrega",,
"Description","Descripcion",,
"Desired delivery date","Fecha de entrega deseada",,
"Details Lines","Lineas de detalles",,
"Discount","Descuento",,
"Discount amount","Monto de descuento",,
"Discount derogation (%)","Derogacion de descuento (%)",,
"Discount rate","Tasa de descuento",,
"Discount type","Tipo de descuento",,
"Discounts need review","Los descuentos necesitan ser revisados",,
"Display customer code on printing","Desplegar codigo de cliente al imprimir",,
"Display delivery condition on printing","Desplegar condicion de entrega al imprimir",,
"Display estimated shipping dates on printing","Desplegar fecha estimada de embarque al imprimir",,
"Display product code on printing","Desplegar codigo de producto al imprimir",,
"Display product picture on printing","Desplegar imagen del producto al imprimir",,
"Display sale order line number","Desplegar numero de linea de orden de venta",,
"Display saleman on printing","Desplegar vendedor al imprimir",,
"Display tax detail on printing","Desplegar detalle de impuesto al imprimir",,
"Displayed Product name","Nombre de producto desplegado",,
"Do not display the header and end of pack","No desplegar encabezado y fin de paquete",,
"Draft","Borrador",,
"Draft quotation","Borrador de cotizacion",,
"Durations","Duraciones",,
"Edit order","Editar orden",,
"Editor","Editor",,
"Enable business configurator","Habilitar configurador de negocio",,
"Enable calculation of the entire quotation using pricing","Habilitar calculo de la cotizacion entera utilizando fijacion de precios",,
"Enable customer catalog management","Habilitar administracion de catalogo de clientes",,
"Enable pricing scale","Habilitar escala de precios",,
"Enable product description copy","Habilitar copia de description de producto",,
"End date","Fecha de finalizacion",,
"End of current contract period","Fecha de finalizacion de periodo de contrato actual",,
"End of validity","Fin de validez",,
"Estimated delivery date","Fecha de entrega estimada",,
"Estimated shipping date","Fecha de embarque estimada",,
"Evaluation of result rule: %s","Evaluacion de regla de resultado: %s",,
"Example: accessing the name of the user","Ejemplo: accesando el nombre del usuario",,
"Examples","Ejemplos",,
"Excel","Excel",,
"Export","Exportar",,
"Fill project","Llenar proyecto",,
"Filter products by trading name","Filtrar productos por nombre",,
"Finalize","Finalizar",,
"Finalized quotation","Cotizacion finalizada",,
"Financial terms","Terminos financieros",,
"Fiscal position","Posicion fiscal",,
"Format","Formato",,
"Formula","Formula",,
"Fortnightly","Quincenal",,
"Freeze fields","Congelar campos",,
"From Date","Fecha de",,
"Full name","Nombre completo",,
"Generate","Generar",,
"Generate Product","Generar producto",,
"Generate Project/Business","Generar producto/negocio",,
"Generate advance payment invoice","Generar factura de pago por adelantado",,
"Generate configurator","Generar configurador",,
"Generate customer deliveries","Generar entregas de cliente",,
"Generate invoice","Generar factura",,
"Generate product","Generar producto",,
"Generate production order","Generar orden de produccion",,
"Generate purchase order","Generar orden de compra",,
"Generate sale configurations","Generar configuraciones de venta",,
"Generate the pdf printing during sale order finalization","Generar impresi�n de PDF durante la finalizacion de la orden de venta",,
"Generated purchase orders","Generar ordenes de compra",,
"Generation type","Tipo de generacion",,
"Gross Profit","Utilidad bruta",,
"Group products on printings","Agrupar productos en impresiones",,
"Half-yearly","Semestralmente",,
"Help","Ayuda",,
"Hide Discount on prints","Ocultar descuento al imprimir",,
"Hide Unit Amounts","Ocultar monto de unidades",,
"Hide unit amounts","Ocultar monto de unidades",,
"Historical","Historico",,
"Identified pricing scale: %s","Escala de precios identificada: %s",,
"Import configurator creators","Importar creadores de configurador",,
"Import log","Importar log",,
"In ATI","En impuestos incluidos",,
"Incoterm must be filled","Se debe llenar el Incoterm",,
"Indicators","Indicadores",,
"Industry Sector","Sector de industria",,
"Info.","Informacion",,
"Information","Informacion",,
"Internal Note","Nota interna",,
"Internal Number","Numero interno",,
"Internal note","Nota interna",,
"Invoice Lines","Lineas de factura",,
"Invoice an advance payment","Facturar un pago por adelantado",,
"Invoice by delivery impose that all sale order lines must have service or stockable product with provision from stock","Factura por entrega necesita que todas las lineas de orden de venta tengan servicio o producto inventariable con provision de stock",,
"Invoiced","Facturado",,
"Invoicing","Facturacion",,
"Is Active","Esta activa/o",,
"Is amount in % ?","El monto esta expresado en %?",,
"Is complementary partner products handled","Se manejan productos complementarios de socio",,
"Is complementary products unhandled yet","Los productos complementarios todavia no son manejados",,
"Label","Etiqueta",,
"Label to be displayed on sale orders","Etiqueta a ser desplegada en orden de venta",,
"Last Year To Date","Ultimo ano a hoy",,
"Last reminder","Ultimo recordatorio",,
"Legal note on sale order","Nota legal en orden de venta",,
"Line production commentary","Comentario de lina de produccion",,
