"key","message","comment","context"
"${fullName} plan. st. move","${fullName} movimiento de stock planificado",,
"${fullName} real st. move","${fullName} movimiento de stock real",,
"%) on the WAP of","% de variacion) sobre el PMP de",,
"%s Reverse stock move (From %s)","%s Revertir movimiento de stock (desde %s)",,
"0.00",,,
"0.50",,,
"1.00",,,
"1.50",,,
"2.00",,,
"2.50",,,
"3.00",,,
"3.50",,,
"4.00",,,
"4.50",,,
"5.00",,,
"<B>%s or %s</B> not found","<B>%s o %s</B> no encontrados(as)",,
"<span class='label label-warning'>Warning : Delivery address is missing.</span>","<span class='label label-warning'>Advertencia: Falta direccion de entrega</span>",,
"A cancel reason must be selected","Se debe seleccionar una razon de cancelacion",,
"A partial stock move has been generated (%s)","Un movimiento de stock parcial ha sido generado (%s)",,
"ABC analysis","Analisis ABC",,
"AbcAnalysis.stockLocation","Ubicacion de stock",,
"Account selection to carrier","Selecci�n de cuenta con transportista",,
"Accounting family","Familia contable",,
"Accounting value","Valor contable",,
"Action","Accion",,
"Actions","Acciones",,
"Activate bar code generation for stock location","Activar generacion de codigo de barras para ubicacion de stock",,
"Activate bar code generation for tracking number","Activar generacion de codigo de barras para numero de rastreo",,
"Add","Anadir",,
"Address","Direccion",,
"Alert","Alerta",,
"All storable products used in DEB must have net mass and mass unit information for customs.","Todos los productos inventariables sujetos a la DEB deben tener una masa neta e informacion sobre la unidad de masa para aduanas",,
"Allocate","Asignar",,
"Allocate all","Asignar todos(as)",,
"Allocations of costs","Reparto de costos",,
"An error occurred while importing the file data, product not found with code :","Ocurrio un error durante la importacion, ningun producto encontrado con el codigo: ",,
"An error occurred while importing the file data, there are multiple products with code :","Ocurrio un error durante la importacion, multiples productos con el codigo:",,
"An error occurred while importing the file data. Please contact your application administrator to check Traceback logs.","Ocurrio un error durante la importacion. Por favor, contacte al administrador de aplicacion",,
"An incoming partial stock move has been generated (%s)","Un movimiento de stock parcial entrante ha sido generado (%s)",,
"An outgoing partial stock move has been generated (%s)","Un movimiento de stock parcial saliente ha sido generado (%s)",,
"App",,,
"App stock","App stock",,
"Archived","Archivado",,
"Are you sure you want to change status to  ""Collected "" ?","Esta seguro(a) que desea cambiar el estado a ""Recogido""?",,
"Are you sure you want to go back to provision ?","Esta seguro(a) que desea volver a la puesta a disposicion?",,
"Are you sure you want to realize this stock move?","Esta seguro(a) que desea realizar este movimiento de stock?",,
"Are you sure you want to validate the carrier?","Esta seguro(a) que desea validar este transportista?",,
"Arrival product qty","Cantidad de productos recibidos",,
"Arrivals","Recepciones",,
"Arrivals History","Historial de recepciones",,
"Auto product tracking Nbr. order","Seleccion automatica de numero de rastreo a la produccion",,
"Auto sale tracking Nbr. order","Seleccion automatica de numero de rastreo de ventas",,
"Auto select product tracking Nbr.","Seleccion automatica de numero de rastreo a la produccion",,
"Auto select sale tracking Nbr.","Seleccion automatica de numero de rastreo de ventas",,
"Av. for product","Disponible para el producto",,
"Availability","Disponibilidad",,
"Availability request","Solicitud de puesta a disposicion",,
"Available","Disponible",,
"Available qty","Cantidad disponible",,
"Available qty for product","Cantidad disponible para producto",,
"Available status","Disponibilidad",,
"Average","Promedio",,
"Average Price","Precio medio ponderado",,
"Avg outgoing quantity on 12 past months (One-off sale excluded)","Cantidad promedio saliente en los ultimos 12 meses (se excluyen ventas extraordinarias)",,
"Back to provision","Regresar a puesta a disposicion",,
"Backorder","Pedido pendiente",,
"Backorder Id","ID de pedido pendiente",,
"Backorder Stock Move","Movimiento de stock (pendiente)",,
"Bad stock move type","Tipo de movimiento de stock incorrecto",,
"Barcode","Codigo de barras",,
"Barcode Type","Tipo de codigo de barras",,
"Barter","Intercambio",,
"Batchs","Lotes",,
"Both source location address and delivery (to) address are required to define the delivery itinerary","Los campos de ubicacion de stock y de direccion de entrega son requeridos para definir un itinerario de entrega",,
"Buyer","Comprador",,
"Buyer/Seller","Comprador/Vendedor",,
"CSV",,,
"Can only be collected if validated","Solamente es posible recoger si el transportista se encuentra validado",,
"Can only be validated if provisioned","Solamente es posible validar si se encuentra puesto a disposicion",,
"Can only cancel a planned or realized stock move.","Solamente es posible cancelar un movimiento de stock realizado o planificado",,
"Can only cancel a validated inventory.","Solamente es posible cancelar un inventario validado",,
"Can only complete a started inventory.","Solamente es posible completar un inventario en proceso",,
"Can only plan a draft inventory.","Solamente es posible planificar un inventario borrador",,
"Can only plan a drafted stock move.","Solamente es posible planificar un movimiento de stock borrador",,
"Can only return to draft if cancelled.","Solamente es posible regresar a estado de borrador si se encuentra cancelado",,
"Can only return to provision if was validated or collected","Solamente es posible regresar a puesta a disposicion si se encuentra validado o recogido",,
"Can only start a draft inventory.","Solamente es posible iniciar un inventario borrador",,
"Can only validate a drafted stock correction.","Solamente es posible validar una correccion de stock borrador",,
"Can't delete a planned stock move","No es posible eliminar un movimiento de stock planificado",,
"Can't delete a realized stock move","No es posible eliminar un movimiento de stock realizado",,
