"key","message","comment","context"
"Accept","Aceptar",,
"Accepted","Aceptado(a)",,
"Actions","Acciones",,
"Available qty","Cantidad disponible",,
"Cancel","Cancelar",,
"Canceled","Cancelado(a)",,
"Comments","Comentarios",,
"Estim. delivery date","Fecha de entrega estimada",,
"Generate all suppliers requests","Generar todas las solicitudes de proveedores",,
"Generate suppliers purchase orders","Generar ordenes de proveedores",,
"Initial purchase order","Orden inicial",,
"Manage supplier consultations","Administracion de consultas a proveedores",,
"Not accept","No retener",,
"Not accepted","No retenido(a)",,
"Ordered quantity","Cantidad ordenada",,
"Purchase order","Orden de compra",,
"Purchase order Details","Detalles de orden de compra",,
"Request","Solicitar",,
"Requested","Solicitado(a)",,
"Show suppliers purchase orders","Ordenes de proveedores",,
"State","Estado",,
"Submitted","Enviado(a)",,
"Supplier","Proveedor",,
"Supplier RFQ/PO","Cotizacion/Orden de compra de proveedor",,
"Supplier consultations","Consultas a proveedor",,
"Supplier request","Solicitud de compra",,
"Supplier's consulting's request created","Solicitud de consulta de proveedor creada",,
"Suppliers orders' generation over","Generacion de orden de proveedor terminada",,
"Suppliers purchase","Compras a proveedor",,
"Suppliers requests","Solicitudes a proveedor",,
"Tools","Herramientas",,
"Unit price","Precio unitario",,
"WARNING : To Date must be after or equals to From Date","Advertencia: La fecha de finalizacion debe ser igual o posterior a la fecha de inicio",,
"Write to the supplier","Escribir a proveedor",,
"suppliers requests","Solicitudes a proveedores",,
