"key","message","comment","context"
"${fullName} plan. st. move","${fullName} movimiento de stock planificado",,
"${product.fullName} plan. st. move","${product.fullName} movimiento de stock planificado",,
"${product.fullName} real st. move","${product.fullName} movimiento de stock realizado",,
"${product.fullName} reserved","${product.fullName} asignado",,
"%",,,
"%d order invoiced successfully,","%d orden facturada exitosamente,",,
"%d orders invoiced successfully,","%d ordenes facturadas exitosamente,",,
"%d outgoing stock move processed successfully,","%d movimiento saliente procesado exitosamente,",,
"%d outgoing stock moves processed successfully,","%d movimientos salientes procesados exitosamente,",,
"%s : The advance payment generation failed. Please configure the bank details for the company %s and the associated payment mode %s either on the payment mode side or this Sale order %s record (hidden field).","%s: La generacion de el pago por adelantado ha fallado. Configure un RIB para la compania %s y para el metodo de pago asociado %s, ya sea directamente a nivel de el modo de pago o a nivel de la orden de el cliente %s (campo oculto)",,
"%s blocked : maximal accepted credit exceeded for %s.","%s bloqueado(a): limite maximo de credito excedido para el presupuesto %s",,
"%s please configure a virtual supplier stock location for the company %s","%s Por favor, configure una ubicacion virtual de stock de proveedor para la compania %s",,
"%s purchase order","%s en orden de compra",,
"%s requested reserved","%s solicitado(a) en reserva",,
"%s sale order","%s en orden de venta",,
"%s stock location","%s en ubicacion de stock",,
"A list of all product categories for which to run the batch (children categories are automatically included). All products will be processed if this list is left empty (note that the batch may take a long time to run if you have a lot of products).","Una lista de todas las categorias de productos para las cuales ejecutar el lote (las sub-categorias se agregaran automaticamente). Se procesaran todos los productos si esta lista se deja vacia (tome en cuenta que el procesamiento puede llevar mucho tiempo si se tienen demasiados productos)",,
"A list of sale order lines that will be processed. The lines that can be selected are the ones conforming to the following conditions :\nProduct is storable\nProduct is managed in stock\nProduct is not excluded from mrp\nSale order/quotation has the same stockLocation or a subLocation\nIf MPS, product must be a finished product\nDelivered quantity of the line must be lower than total quantity\nThe line must conform to one or several of the mrp move types","Una lista de lineas de presupuesto de venta que seran procesadas. Las l�neas que se pueden seleccionar son aquellas que cumplen con las siguientes condiciones:\nEl producto es inventariable\nEl producto se encuenrtra administrado en stock\nEl producto no se encuentra excluido de el CBN\nLa cotizacion/orden de venta debe conta con la misma ubicacion de stock o sub-ubicacion\nSi es PDP, el producto debe ser un producto terminado\nLa cantidad entregada de la linea debe ser inferior a la cantidad total\nLa linea debe cumplir con al menos uno de los tipos de encargos",,
"A supplier partner must be selected","Un proveedor debe ser seleccionado",,
"Accepted Credit","Monto de credito aceptado",,
"Account configuration","Configuracion contable",,
"Accounting Batch","Lote contable",,
"Accounting Family Dashboard","Tablero de familia contable",,
"Accounting Family sale turnover (Excl. Tax) per month","Ingresos sin impuestos por familia contable por mes",,
"Accounting cut off generation report :","Reporte de generacion de corte contable",,
"Action","Accion",,
"Actions","Acciones",,
"Activate partial invoicing for incoming moves","Activar facturacion parcial para movimientos entrantes",,
"Activate partial invoicing for outgoing moves","Activar facturacion parcial para movimientos salientes",,
"Activate partner delegations","Activar delegaciones entre socios",,
"All invoices have been generated for this sale order.","Todas las facturas han sido generadas para esta orden de venta",,
"Allocated Qty","Cantidad asignada",,
"Allocated qty","Cantidad asignada",,
"Allow Subscriptions for Sale orders","Autorizar subscripciones para ordenes/cotizaciones de venta",,
"Allow complete manually sale order","Autorizar llenado manual de orden de venta",,
"Allow finish manually purchase order","Autorizar llenado manual de orden de compra",,
"Allow timetable invoicing","Autorizar facturacion de calendario",,
"Amount","Monto",,
"Amount cannot be superior to the order's total excluding taxes","El monto no debe ser superior a el total de la orden sin impuestos",,
"Amount invoiced W.T.","Monto facturado sin impuestos",,
"Amount not invoiced","Monto no facturado",,
"Amount remaining to use","Monto restante a utilizar",,
"Amount to invoice","Monto a facturar",,
"An active stock move (%s) already exists for the sale order %s.","Un movimiento de stock (%s) ya existe para la orden de venta %s",,
"An invoice at status draft or validated is linked to the stock move %s. Please contact the invoicing/accounting department before any changes.","Una factura con estado de Borrador o Validada se encuentra vinculada a el movimiento de stock %s. Por favor, contacte al servicio de Facturacion/Contabilidad antes de realizar cualquier modificacion",,
"An invoice not canceled already exists for the incoming stock move %s","Una factura no cancelada ya existe para el movimiento de stock entrante %s",,
"An invoice not canceled already exists for the outgoing stock move %s","Una factura no cancelada ya existe para el movimiento de stock saliente %s",,
"Analytic Move Line","Linea de movimiento analitico",,
"Analytic distribution lines","Lineas de distribucion analitica",,
"Analytic distribution template","Modelo de distribucion analitica",,
"Analytic move line","Linea de movimiento analitico",,
"Analytic move lines","Lineas de movimiento analitico",,
"App",,,
"App Supplychain","App Cadena de suministros",,
"App supplychain","App Cadena de suministros",,
"Archived","Archivado(a)",,
"Are you sure you want to run the calculation ? Calculation can take a long time.","Se encuentra seguro(a) de querer ejecutar el calculo? Puede tomar un largo tiempo",,
"Associated estimated delivery mrp line","Linea de entrega estimada asociada",,
"At least one sale order line must be selected","Al menos una linea de orden de venta debe encontrarse seleccionada",,
"At least one stock move is in litigation, do you really want to validate passed for payment ?","Al menos una recepcion de proveedor se encuentra en disputa para esta factura. Desea validar este LPP?",,
"Auto allocate during an availability request","Asignar automaticamente durante solicitud de disponibilidad",,
"Auto allocate stock on other stock moves","Asignar automaticamente stock en otros movimientos",,
"Auto allocate stock on receipt","Asignar automaticamente stock en recepcion",,
"Auto request reserved qty","Solicitar automaticamente cantidad para reservacion",,
"Availability requests","Solicitudes de disponibilidad",,
"Available","Disponible",,
"Available status","Disponibilidad",,
"Available stock","Stock disponible",,
"Batch update stock history :","Lote de actualizacion de historial de stock",,
"Batches","Lotes",,
"Batchs","Lotes",,
"Block deallocation on availability request","Bloquear desasignacion automatica durante solicitud de disponibilidad",,
"Blocked by","Bloqueado(a) por",,
"Blocked until","Bloqueado(a) hasta",,
"Blocking reason","Razon de bloqueo",,
"Building quantity","Cantidad en fabricacion",,
"Buyers","Comprador",,
"Calculation End Date","Fecha de fin de calculo",,
"Calculation Start Date","Fecha de inicio de calculo",,
"Calculation ended","Calculo terminado",,
"Calculation in progress","Calculo en curso",,
"Calculation started","Calculo iniciado",,
"Can only be cancelled from drafted or confirmed forecast.","Solo es posible cancelar pronosticos Borradores o Confirmados",,
"Can only be confirmed from drafted forecast.","Solo es posible confirmar pronosticos Borradores",,
"Can only go back to confirmed if completed.","Solo es posible retornar a estado Confirmado desde estado Completado",,
"Can only return to validated from finished purchase order.","Solo es posible retornar a estado Validado desde estado Terminado",,
"Can't cancel a stock move that is partially or totally invoiced.","Imposible cancelar movimiento de stock facturado o facturado parcialmente",,
"Can't remove delivered detail line %s.","Imposible eliminar linea de detalle de entrega %s",,
"Cancel","Cancelar",,
"Cancel reason on changing sale order","Razon de cancelacion en orden de venta modificada",,
"Cancel stock allocation ?","Cancelar asignacion de stock?",,
"Cancelled","Cancelado(a)",,
"Carriage paid threshold","Limite para portes pagados",,
"Carriage paid threshold is exceeded, all shipment cost lines are removed","Limite para portes pagados excedido, todas las lineas de costo han sido canceladas",,
"Carrier","Transportista",,
"Change allocated qty","Cambiar cantidad asignada",,
"Change requested reserved qty","Cambiar cantidad solicitada",,
"Change reserved qty","Cambiar cantidad reservada",,
"Check stocks in a sale order","Verificacion de stock en orden de venta",,
"Code","Codigo",,
"Comment","Comentario",,
"Comments","Comentarios",,
"Company","Compania",,
"Complete sale order when all has been invoiced","Terminar orden al facturar",,
"Compute sub stock locations","Detalle para sub-ubicaciones",,
"Configuration","Configuracion",,
"Confirm","Confirmar",,
"Confirm Purchase order generation","Confirmar generacion de orden de compra",,
"Confirm merge purchase order","Confirmar fusion de ordenes",,
"Confirmation","Confirmacion",,
"Confirmation date","Fecha de confirmacion",,
"Confirmed","Confirmado(a)",,
"Consider only late sales","Considerar solo ordenes con retraso",,
"Consolidate the proposals per supplier","Consolidar propuestas por proveedor",,
"Consume manuf order quantity","Cantidad de consumo de orden de manufactura",,
