"key","message","comment","context"
"+10 years","+10 anos",,
"0 %",,,
"0-2 years","0-2 anos",,
"10 %",,,
"100 %",,,
"2-5 years","2-5 anos",,
"20 %",,,
"30 %",,,
"40 %",,,
"5-10 years","5-10 anos",,
"50 %",,,
"60 %",,,
"70 %",,,
"80 %",,,
"90 %",,,
"<a class='fa fa-linkedin' href='http://www.linkedin.com' target='_blank' />",,,
"A new employee form will be created. Do you confirm the creation ?","Una nueva ficha de empleado ser creada. Desea confirmar la creacion?",,
"Address","Direccion",,
"All applications","Todas las candidaturas",,
"All trainings","Todos los entrenamientos",,
"App",,,
"App recruitment","App Reclutamiento",,
"Application Information","Informacion de candidatura",,
"Applications","Candidatura",,
"Applied :","Postulado(a):",,
"Applied job","Oferta de empleo",,
"Appraisal","Evaluacion",,
"Appraisal cancelled","Evaluacion cancelada",,
"Appraisal draft","Evaluacion borrador",,
"Appraisal filters","Filtros de evaluacion",,
"Appraisal realized","Evaluacion realizada",,
"Appraisal sent","Evaluacion enviada",,
"Appraisal template","Plantilla de evaluacion",,
"Appraisal templates","Plantillas de evaluacion",,
"Appraisal type","Tipo de evaluacion",,
"Appraisal types","Tipos de evaluacion",,
"Appraisals","Evaluaciones",,
"Appreciation","Apreciacion",,
"Availability from","Disponibilidad",,
"Business sectors","Sectores de actividad",,
"Cadre","Marco",,
"Calendar","Calendario",,
"Cancel","Cancelar",,
"Cancel session","Cancelar sesion",,
"Canceled","Cancelado(a)",,
"Categories","Categorias",,
"Category","Categoria",,
"Clearance","Autorizacion",,
"Close","Cerrar",,
"Closed","Cerrado(a)",,
"Closed job offers","Ofertas de empleo cerradas",,
"Code","Codigo",,
"Company","Compania",,
"Competence certificate","Certificado de competencia",,
"Complete session","Completar sesion",,
"Completed","Completado(a)",,
"Completed trainings of all employees of a team","Evaluaciones terminadas de mi equipo",,
"Configuration","Configuracion",,
"Contact","Contacto",,
"Contact details","Detalles de contacto",,
"Contract","Contrato",,
"Contract type","Tipo de contrato",,
"Create","Crear",,
"Create Appraisal(Select Employees)","Crear evaluaciones (seleccionar empleados)",,
"Create Appraisals","Crear evaluaciones",,
"Create Appraisals(Select Employees)","Crear evaluaciones (seleccionar empleados)",,
"Create a job application","Crear candidatura",,
"Current job offers","Ofertas de empleo en curso",,
"Dashboard","Tablero",,
"Date of application","Fecha de candidatura",,
"Deadline","Fecha limite",,
"Department","Departamento",,
"Description","Descripcion",,
"Disposal","Descarte",,
"Draft","Borrador",,
"Education level","Nivel de educacion",,
"Email",,,
"Employee","Empleado(a)",,
"Employee hired","Empleado(a) contratado(a)",,
"Employees","Empleados",,
"End of validity date","Fecha de fin de validez",,
"Event list","Lista de eventos",,
"Events","Eventos",,
"Expected salary","Salario esperada",,
"Experience","Experiencia",,
"Fax",,,
"First name","Nombre",,
"Fixed phone","Telefono fijo",,
"From","De",,
"From date","Fecha de inicio",,
"Full name","Nombre completo",,
"Graduation date","Fecha de graduacion",,
"Hire candidate","Contratar candidato(a)",,
"Hiring Stage","Etapa de reclutamiento",,
"Hiring manager","Responsable de reclutamiento",,
"Hiring stage","Etapa de reclutamiento",,
"Hiring status","Estado de reclutamiento",,
"Invalid dates. From date must be before to date.","Fechas invalidas. La fecha de inicio debe ser anterior a la fecha de finalizacion",,
"Is template","Plantilla?",,
"Job Application","Candidatura",,
"Job Position Filters","Filtros de ofertas de empleo",,
"Job application","Candidatura",,
"Job applications","Candidaturas",,
"Job description","Descripcion de la oferta",,
"Job email","Email de respuesta a oferta de empleo",,
"Job position","Oferta de empleo",,
"Job positions","Ofertas de empleo",,
"Job reference","Referencia de oferta de empleo",,
"Job title","Nombre de oferta",,
"JobApplication.resume","CV",,
"Last email sync id","ID de ultima sincronizacion de email",,
"Last name","Apellido",,
"Level of education","Nivel de educacion",,
"License","Licencia",,
"LinkedIn profile","LinkedIn",,
"Location","Ubicacion",,
"Mandatory training","Entrenamiento obligatorio",,
"Mass training register","Inscripcion masiva a entrenamiento",,
"Meeting","Reunion",,
"Mobile phone","No. movil",,
"Month","Mes",,
"My completed appraisals","Mis evaluaciones terminadas",,
"My completed trainings","Mis entrenamientos terminados",,
"My traning filters","Filtros de mis entrenamientos",,
"My upcoming appraisal","Mis evaluaciones proximas",,
"My upcoming trainings","Mis entrenamientos proximos",,
"Name","Nombre",,
"Nb Employee","Numero de empleado(a)",,
"Nb Hours","Numero de horas",,
"Nb of open jobs","Numero de posiciones abiertas",,
"Nb of people hired","Numero de personas contratadas",,
"Nb of training hours per month","Numero de horas de entrenamiento por mes",,
"Nb. hours per category","Numero de horas por categoria",,
"Nb. hours per training","Numero de horas por entrenamiento",,
"Nb. of trained employee per category","Numero de empleados entrenados por categoria",,
"New appraisal","Nuevas evaluaciones",,
"No Training register is generated because selected employees don't have any user.","No se genero ningun registro de entrenamiento porque los empleados seleccionados no cuentan con un usuario",,
"No resume found","Ningun CV encontrado",,
"Note","Nota",,
"Number of hours","Numero de horas",,
"Number of registredred to the session","Numero de inscritos a la sesion",,
"Objectives","Objetivos",,
"On hold","En espera",,
"Open","Abierto(a)",,
"Overall rating","Nota global",,
"Overall rating to apply","Nota global a aplicar",,
"Photo","Foto",,
"Planned","Planificado(a)",,
"Position Status","Estado de posicion",,
"Primary Address","Direccion principal",,
"Profile details","Detalles de perfil",,
"Profile wanted","Perfil deseado",,
"Program","Programa",,
"Proposed salary","Salario propuesto",,
"Publication Date","Fecha de publicacion",,
"Rating","Nota",,
"Realize","Realizar",,
"Reason not hired","Razon de no contratacion",,
"Recruitment","Reclutamiento",,
"Recruitment management","Administracion de reclutamiento",,
"Referred by","Referente",,
"Register","Registrar",,
"Register training","Inscripcion a entrenamiento",,
"Requested","Solicitado(a)",,
"Required training","Entrenamiento requerido",,
"Resume","Curriculum",,
"Reviewer","Responsable de evaluacion",,
"Salary","Salario",,
"Schedule Event","Evento planificado",,
"Send","Enviar",,
"Sent","Enviado(a)",,
"Sequence","Secuencia",,
"Session","Sesion",,
"Set a hiring manager to create a job application.","Por favor, indique un responsable para crear la candidatura",,
"Skill","Competencia",,
"Skills","Competencias",,
"Skills tag","Competencias",,
"Source","Fuente",,
"Starting date","Toma de puesto",,
"Status","Estado",,
"Tag skill","Competencias",,
"Tag skills","Competencias",,
"Technicien","Tecnico(a)",,
"Title","Titulo",,
"To","A",,
"To date","Fecha de finalizacion",,
"Tools","Herramientas",,
"Total","Total",,
"Training","Entrenamiento",,
"Training Categories","Categorias",,
"Training Category","Categoria de entrenamiento",,
"Training Register","Inscripcion a entrenamiento",,
"Training completed","Entrenamiento realizado",,
"Training dashboard","Tablero de entrenamiento",,
"Training dates must be under training session date range.","Las fechas de entrenamiento deben encontrarse incluidas en las fechas de la sesion de entrenamiento",,
"Training filters","Filtros de entrenamiento",,
"Training per category","Entrenamientos por categorias",,
"Training register","Inscripcion a entrenamiento",,
"Training register list","Lista de inscripciones a entrenamiento",,
"Training registers","Inscripciones a entrenamientos",,
"Training session","Sesion de entrenamiento",,
"Training sessions","Sesiones de entrenamiento",,
"Training skill","Competencia adquirida",,
"Training skills","Competencias adquiridas",,
"Trainings","Entrenamientos",,
"Type","Tipo",,
"Type of appraisal","Tipo de evaluacion",,
"Upcoming appraisal","Evaluaciones por venir",,
"Upcoming appraisals of all employees of a team","Evaluaciones por venir de mi equipo",,
"Upcoming trainings of all employees of a team","Entrenamientos por venir de mi equipo",,
"Update all rating","Actualizar todas las notas",,
"Validity duration","Duracion de validez",,
"Work experience","Experiencia profesional",,
"jobposition.companyDepartment","Servicios",,
"user@mydomain.com","usuario@midominio.com",,
"value:Appraisal","Evaluacion",,
"value:Recruitment","Reclutamiento",,
"value:Training","Entrenamiento",,
